,NO2 (ppb),O3 (ppb),Humidity (%),Temp (C)
count,3552.0,3552.0,3552.0,3552.0
mean,28.6,32.83,57.04,25.22
std,15.31,17.28,13.95,6.46
min,0.73,0.01,22.5,6.7
25%,17.9,18.8,46.43,21.2
50%,26.55,31.6,56.25,25.84
75%,36.48,46.04,67.18,29.96
max,104.77,86.68,89.58,39.05
kurtosis,1.57,-0.8,-0.6,-0.22
skew,1.01,0.23,0.14,-0.46
