From;To;ID 5720 - PM1;ID 5720 - PM2.5;ID 5720 - PM10
23:00 17/06;00:00 18/06;3;4;8
00:00 18/06;01:00 18/06;0;0;0
01:00 18/06;02:00 18/06;0;0;0
02:00 18/06;03:00 18/06;0;0;0
03:00 18/06;04:00 18/06;0;0;0
04:00 18/06;05:00 18/06;0;0;0
05:00 18/06;06:00 18/06;1;1;3
06:00 18/06;07:00 18/06;4;5;9
07:00 18/06;08:00 18/06;6;8;15
08:00 18/06;09:00 18/06;9;11;21
09:00 18/06;10:00 18/06;10;14;28
10:00 18/06;11:00 18/06;11;14;30
11:00 18/06;12:00 18/06;10;14;29
12:00 18/06;13:00 18/06;10;12;25
13:00 18/06;14:00 18/06;4;4;9
14:00 18/06;15:00 18/06;1;1;1
15:00 18/06;16:00 18/06;2;2;5
16:00 18/06;17:00 18/06;9;12;26
17:00 18/06;18:00 18/06;13;18;42
18:00 18/06;19:00 18/06;11;16;34
19:00 18/06;20:00 18/06;6;8;15
20:00 18/06;21:00 18/06;3;4;9
21:00 18/06;22:00 18/06;4;5;10
22:00 18/06;23:00 18/06;5;6;13
23:00 18/06;00:00 19/06;5;6;12
00:00 19/06;01:00 19/06;4;5;11
01:00 19/06;02:00 19/06;4;5;11
02:00 19/06;03:00 19/06;4;5;10
03:00 19/06;04:00 19/06;3;4;9
04:00 19/06;05:00 19/06;3;4;8
05:00 19/06;06:00 19/06;3;4;8
06:00 19/06;07:00 19/06;3;4;8
07:00 19/06;08:00 19/06;4;5;10
08:00 19/06;09:00 19/06;6;8;15
09:00 19/06;10:00 19/06;7;9;18
10:00 19/06;11:00 19/06;7;9;18
11:00 19/06;12:00 19/06;2;3;6
12:00 19/06;13:00 19/06;2;3;6
13:00 19/06;14:00 19/06;2;3;5
14:00 19/06;15:00 19/06;2;2;5
15:00 19/06;16:00 19/06;2;3;6
16:00 19/06;17:00 19/06;3;4;7
17:00 19/06;18:00 19/06;3;4;7
18:00 19/06;19:00 19/06;3;3;7
19:00 19/06;20:00 19/06;3;3;7
20:00 19/06;21:00 19/06;3;4;8
21:00 19/06;22:00 19/06;3;4;8
22:00 19/06;23:00 19/06;3;4;8
23:00 19/06;00:00 20/06;4;4;9
00:00 20/06;01:00 20/06;4;4;9
01:00 20/06;02:00 20/06;4;4;9
02:00 20/06;03:00 20/06;6;7;14
03:00 20/06;04:00 20/06;7;8;15
04:00 20/06;05:00 20/06;7;9;18
05:00 20/06;06:00 20/06;7;8;16
06:00 20/06;07:00 20/06;8;10;20
07:00 20/06;08:00 20/06;9;11;23
08:00 20/06;09:00 20/06;9;12;24
09:00 20/06;10:00 20/06;9;12;25
10:00 20/06;11:00 20/06;8;11;21
11:00 20/06;12:00 20/06;5;6;12
12:00 20/06;13:00 20/06;5;5;11
13:00 20/06;14:00 20/06;5;5;11
14:00 20/06;15:00 20/06;4;5;10
15:00 20/06;16:00 20/06;4;5;10
16:00 20/06;17:00 20/06;4;5;9
17:00 20/06;18:00 20/06;4;5;10
18:00 20/06;19:00 20/06;4;5;10
19:00 20/06;20:00 20/06;5;5;11
20:00 20/06;21:00 20/06;5;6;12
21:00 20/06;22:00 20/06;6;7;15
22:00 20/06;23:00 20/06;7;9;18
23:00 20/06;00:00 21/06;8;9;19
00:00 21/06;01:00 21/06;9;11;22
01:00 21/06;02:00 21/06;7;9;18
02:00 21/06;03:00 21/06;7;9;18
03:00 21/06;04:00 21/06;8;9;18
04:00 21/06;05:00 21/06;8;10;19
05:00 21/06;06:00 21/06;9;11;21
06:00 21/06;07:00 21/06;9;11;23
07:00 21/06;08:00 21/06;10;13;25
08:00 21/06;09:00 21/06;10;12;25
09:00 21/06;10:00 21/06;10;13;27
10:00 21/06;11:00 21/06;9;11;23
11:00 21/06;12:00 21/06;9;12;25
12:00 21/06;13:00 21/06;8;10;20
13:00 21/06;14:00 21/06;8;10;20
14:00 21/06;15:00 21/06;9;11;20
15:00 21/06;16:00 21/06;9;12;21
16:00 21/06;17:00 21/06;10;13;23
17:00 21/06;18:00 21/06;10;13;24
18:00 21/06;19:00 21/06;10;13;24
19:00 21/06;20:00 21/06;10;14;25
20:00 21/06;21:00 21/06;12;16;31
21:00 21/06;22:00 21/06;12;16;32
22:00 21/06;23:00 21/06;12;16;31
23:00 21/06;00:00 22/06;12;17;34
00:00 22/06;01:00 22/06;12;16;32
01:00 22/06;02:00 22/06;14;18;37
02:00 22/06;03:00 22/06;13;18;37
03:00 22/06;04:00 22/06;14;19;38
04:00 22/06;05:00 22/06;13;18;36
