From;To;ID 5720 - PM1;ID 5720 - PM2.5;ID 5720 - PM10
00:00 11/05;01:00 11/05;5;7;9
01:00 11/05;02:00 11/05;5;6;9
02:00 11/05;03:00 11/05;4;5;7
03:00 11/05;04:00 11/05;5;6;8
04:00 11/05;05:00 11/05;6;7;10
05:00 11/05;06:00 11/05;6;7;10
06:00 11/05;07:00 11/05;6;8;11
07:00 11/05;08:00 11/05;8;10;14
08:00 11/05;09:00 11/05;8;11;15
09:00 11/05;10:00 11/05;9;12;17
10:00 11/05;11:00 11/05;6;8;12
11:00 11/05;12:00 11/05;4;5;7
12:00 11/05;13:00 11/05;3;4;5
13:00 11/05;14:00 11/05;3;4;6
14:00 11/05;15:00 11/05;5;6;8
15:00 11/05;16:00 11/05;4;5;7
16:00 11/05;17:00 11/05;3;3;5
17:00 11/05;18:00 11/05;3;3;4
18:00 11/05;19:00 11/05;3;3;4
19:00 11/05;20:00 11/05;3;4;5
20:00 11/05;21:00 11/05;4;5;7
21:00 11/05;22:00 11/05;5;6;9
22:00 11/05;23:00 11/05;6;7;10
23:00 11/05;00:00 12/05;5;6;9
00:00 12/05;01:00 12/05;6;7;10
01:00 12/05;02:00 12/05;7;9;12
02:00 12/05;03:00 12/05;6;7;10
03:00 12/05;04:00 12/05;6;8;11
04:00 12/05;05:00 12/05;7;9;13
05:00 12/05;06:00 12/05;8;10;14
06:00 12/05;07:00 12/05;9;11;16
07:00 12/05;08:00 12/05;9;13;18
08:00 12/05;09:00 12/05;9;12;16
09:00 12/05;10:00 12/05;9;13;18
10:00 12/05;11:00 12/05;9;13;19
11:00 12/05;12:00 12/05;8;10;14
12:00 12/05;13:00 12/05;6;8;10
13:00 12/05;14:00 12/05;5;7;9
14:00 12/05;15:00 12/05;5;6;9
15:00 12/05;16:00 12/05;4;5;7
16:00 12/05;17:00 12/05;5;6;8
17:00 12/05;18:00 12/05;4;5;7
18:00 12/05;19:00 12/05;4;5;7
19:00 12/05;20:00 12/05;5;6;8
20:00 12/05;21:00 12/05;6;7;10
21:00 12/05;22:00 12/05;7;9;12
22:00 12/05;23:00 12/05;8;10;14
23:00 12/05;00:00 13/05;7;10;13
00:00 13/05;01:00 13/05;6;8;11
01:00 13/05;02:00 13/05;6;8;11
02:00 13/05;03:00 13/05;8;10;14
03:00 13/05;04:00 13/05;8;11;15
04:00 13/05;05:00 13/05;9;11;15
05:00 13/05;06:00 13/05;8;11;15
06:00 13/05;07:00 13/05;10;13;19
07:00 13/05;08:00 13/05;11;15;22
08:00 13/05;09:00 13/05;11;15;22
09:00 13/05;10:00 13/05;11;15;24
10:00 13/05;11:00 13/05;10;14;22
11:00 13/05;12:00 13/05;9;12;17
12:00 13/05;13:00 13/05;8;11;16
13:00 13/05;14:00 13/05;8;10;13
14:00 13/05;15:00 13/05;6;8;11
15:00 13/05;16:00 13/05;6;7;9
16:00 13/05;17:00 13/05;5;6;9
17:00 13/05;18:00 13/05;5;6;8
18:00 13/05;19:00 13/05;5;6;8
19:00 13/05;20:00 13/05;6;7;10
20:00 13/05;21:00 13/05;7;9;12
21:00 13/05;22:00 13/05;8;11;15
22:00 13/05;23:00 13/05;9;12;17
23:00 13/05;00:00 14/05;8;11;15
00:00 14/05;01:00 14/05;8;10;14
01:00 14/05;02:00 14/05;8;10;13
02:00 14/05;03:00 14/05;9;11;15
03:00 14/05;04:00 14/05;8;10;14
04:00 14/05;05:00 14/05;8;10;14
05:00 14/05;06:00 14/05;9;12;16
06:00 14/05;07:00 14/05;8;10;14
07:00 14/05;08:00 14/05;8;10;13
08:00 14/05;09:00 14/05;8;11;16
09:00 14/05;10:00 14/05;7;9;12
10:00 14/05;11:00 14/05;6;8;11
11:00 14/05;12:00 14/05;7;8;11
12:00 14/05;13:00 14/05;7;8;11
13:00 14/05;14:00 14/05;7;9;13
14:00 14/05;15:00 14/05;7;9;13
15:00 14/05;16:00 14/05;7;8;11
16:00 14/05;17:00 14/05;6;7;10
17:00 14/05;18:00 14/05;4;5;7
18:00 14/05;19:00 14/05;0;0;0
19:00 14/05;20:00 14/05;2;2;3
20:00 14/05;21:00 14/05;3;4;5
21:00 14/05;22:00 14/05;5;6;8
22:00 14/05;23:00 14/05;6;8;10
23:00 14/05;00:00 15/05;7;8;11
00:00 15/05;01:00 15/05;8;10;13
01:00 15/05;02:00 15/05;7;9;13
02:00 15/05;03:00 15/05;7;9;12
03:00 15/05;04:00 15/05;8;10;13
04:00 15/05;05:00 15/05;7;9;12
05:00 15/05;06:00 15/05;5;6;8
06:00 15/05;07:00 15/05;5;6;8
07:00 15/05;08:00 15/05;7;9;12
08:00 15/05;09:00 15/05;7;9;12
09:00 15/05;10:00 15/05;7;9;12
10:00 15/05;11:00 15/05;8;10;14
11:00 15/05;12:00 15/05;8;10;14
12:00 15/05;13:00 15/05;7;9;12
13:00 15/05;14:00 15/05;6;8;11
14:00 15/05;15:00 15/05;6;8;11
15:00 15/05;16:00 15/05;6;7;9
16:00 15/05;17:00 15/05;5;6;8
17:00 15/05;18:00 15/05;6;8;10
18:00 15/05;19:00 15/05;6;8;11
19:00 15/05;20:00 15/05;7;9;12
20:00 15/05;21:00 15/05;8;10;14
21:00 15/05;22:00 15/05;9;12;16
22:00 15/05;23:00 15/05;10;13;18
23:00 15/05;00:00 16/05;9;11;16
00:00 16/05;01:00 16/05;9;12;16
01:00 16/05;02:00 16/05;10;13;18
02:00 16/05;03:00 16/05;9;12;17
03:00 16/05;04:00 16/05;10;13;18
