,Temp (C),Humidity (%),PM10 (ug/m3),PM2.5 (ug/m3),PM1 (ug/m3),CO (μg/m3 10²),NO2 (ppb),windspeed,direction,wind direction
2022-07-22 20:00:00,31.29,46.76,60.0,37.0,16.0,63.01,87.94,2.08,181.15,S
2022-07-22 21:00:00,31.04,52.37,81.5,51.0,22.0,68.49,98.32,0.56,199.73,S
2022-07-22 22:00:00,30.52,57.06,74.0,46.0,20.0,58.22,67.61,0.55,266.97,W
2022-07-22 23:00:00,28.35,69.82,87.0,54.0,23.0,78.77,58.55,0.4,223.63,CALM
2022-07-23 00:00:00,28.01,67.95,81.5,50.5,22.0,68.49,68.93,0.95,102.53,E
2022-07-23 01:00:00,28.12,63.69,69.0,42.5,19.0,49.66,47.51,1.38,88.85,E
2022-07-23 02:00:00,27.27,65.73,77.0,47.5,20.0,54.79,50.83,0.46,234.32,CALM
2022-07-23 03:00:00,26.76,71.41,90.0,55.0,23.0,65.07,61.16,0.66,203.58,SW
2022-07-23 04:00:00,26.83,75.92,99.0,61.0,26.0,58.22,49.16,0.6,255.93,W
2022-07-23 05:00:00,26.28,83.68,83.0,52.0,23.0,61.64,45.94,0.5,246.3,SW
2022-07-23 06:00:00,26.57,84.18,97.0,60.0,25.0,58.22,42.86,0.49,99.5,CALM
2022-07-23 07:00:00,27.95,75.83,90.0,55.0,24.0,47.95,37.5,1.09,81.68,E
2022-07-23 08:00:00,29.29,66.08,74.0,47.0,21.0,37.67,25.17,1.26,75.75,E
2022-07-23 09:00:00,31.15,50.08,58.0,36.5,16.5,15.75,25.31,1.46,88.6,E
2022-07-23 10:00:00,32.03,41.07,48.5,30.0,13.0,9.25,22.91,1.87,72.47,E
2022-07-23 11:00:00,32.41,41.05,48.0,30.0,13.0,20.89,26.52,2.56,68.9,E
2022-07-23 12:00:00,32.78,40.12,55.0,35.0,16.0,19.18,26.24,2.91,64.17,NE
2022-07-23 13:00:00,34.76,36.31,55.0,34.5,15.0,22.95,27.95,2.96,65.72,NE
2022-07-23 14:00:00,34.84,35.03,55.0,35.0,15.0,23.97,38.8,2.9,87.07,E
2022-07-23 15:00:00,34.43,37.77,54.0,34.0,15.0,37.67,42.81,2.18,80.13,E
2022-07-23 16:00:00,35.08,37.11,53.0,33.0,15.0,36.3,35.22,1.96,60.3,NE
2022-07-23 17:00:00,34.51,41.61,56.0,36.0,16.0,54.45,49.55,2.02,80.68,E
2022-07-23 18:00:00,32.79,51.09,62.0,39.0,17.0,65.75,55.72,1.53,71.57,E
2022-07-23 19:00:00,31.69,60.69,67.5,42.5,19.0,71.58,61.81,1.33,67.3,NE
2022-07-23 20:00:00,30.36,53.95,71.0,44.0,19.0,65.07,102.11,0.69,80.07,E
2022-07-23 21:00:00,29.49,57.31,80.0,51.0,22.0,75.34,95.94,0.59,84.92,E
2022-07-23 22:00:00,29.49,49.29,70.0,43.0,19.0,51.37,60.45,0.49,239.08,CALM
2022-07-23 23:00:00,29.18,43.52,66.0,41.0,17.0,58.22,61.63,0.63,246.93,SW
2022-07-24 00:00:00,28.82,49.71,69.0,43.0,19.0,65.07,75.17,0.78,244.28,SW
2022-07-24 01:00:00,27.52,50.03,65.0,40.0,17.0,58.22,60.54,0.37,259.7,CALM
2022-07-24 02:00:00,27.13,55.8,70.0,43.0,19.0,58.22,62.12,0.49,260.0,CALM
2022-07-24 03:00:00,26.75,53.81,72.0,45.0,19.0,54.79,51.27,1.08,241.13,SW
2022-07-24 04:00:00,26.65,53.8,75.0,47.0,20.0,65.07,53.21,0.95,245.7,SW
2022-07-24 05:00:00,26.99,70.49,81.0,49.0,21.0,61.64,55.18,0.72,242.55,SW
2022-07-24 06:00:00,27.38,69.62,88.0,53.5,22.0,47.95,48.5,0.39,243.22,CALM
2022-07-24 07:00:00,28.14,68.78,95.0,58.0,24.0,41.1,46.65,0.28,124.98,CALM
2022-07-24 08:00:00,29.13,66.63,98.5,60.0,25.5,46.23,41.79,1.41,76.68,E
2022-07-24 09:00:00,31.17,54.45,104.0,64.0,28.0,27.4,33.6,1.42,71.38,E
2022-07-24 10:00:00,32.91,45.35,82.0,51.0,22.0,17.81,33.62,1.7,71.87,E
2022-07-24 11:00:00,34.32,40.43,65.0,41.0,18.0,12.33,28.0,1.69,69.7,E
2022-07-24 12:00:00,34.18,46.56,67.0,41.0,17.0,35.62,40.02,1.88,57.98,NE
2022-07-24 13:00:00,34.38,46.83,64.0,39.0,17.0,34.93,37.57,2.23,63.7,NE
2022-07-24 14:00:00,34.65,47.09,63.0,39.0,17.0,40.41,38.35,2.68,83.68,E
2022-07-24 15:00:00,33.52,53.73,63.0,39.0,17.0,53.08,41.64,3.17,86.32,E
2022-07-24 16:00:00,33.83,44.64,60.0,38.0,16.0,28.77,35.66,3.7,57.47,NE
2022-07-24 17:00:00,33.97,38.71,60.0,38.0,17.0,16.44,34.34,3.82,78.58,E
2022-07-24 18:00:00,33.44,38.82,60.5,38.0,16.0,33.56,45.6,5.18,81.45,E
2022-07-24 19:00:00,32.67,43.16,66.5,41.0,18.0,47.26,55.54,2.91,57.87,NE
2022-07-24 20:00:00,31.25,54.88,70.0,43.5,18.5,65.41,56.33,1.45,152.65,SE
2022-07-24 21:00:00,31.22,47.86,72.0,44.0,19.0,34.25,40.66,1.2,200.43,S
2022-07-24 22:00:00,32.16,37.93,72.0,43.5,18.5,22.26,24.94,0.98,61.4,NE
2022-07-24 23:00:00,30.32,43.01,75.0,45.5,18.5,46.23,37.26,1.7,164.12,S
2022-07-25 00:00:00,28.2,56.46,71.0,43.0,17.0,75.34,42.26,2.02,163.35,S
2022-07-25 01:00:00,28.47,54.69,76.5,47.0,19.5,63.36,39.81,4.71,155.78,SE
2022-07-25 02:00:00,28.61,50.25,67.0,40.0,17.0,51.37,33.3,4.52,168.97,S
2022-07-25 03:00:00,28.64,48.34,63.0,38.0,16.0,51.37,27.12,1.32,110.25,E
2022-07-25 04:00:00,28.8,44.01,48.0,29.0,12.0,47.95,26.67,1.59,166.47,S
2022-07-25 05:00:00,28.6,44.85,51.0,31.0,12.5,51.37,29.72,2.19,208.07,SW
2022-07-25 06:00:00,29.98,43.41,56.0,34.0,14.0,54.79,35.76,2.79,204.28,SW
2022-07-25 07:00:00,31.37,41.35,54.0,33.0,13.0,31.51,31.24,2.33,211.47,SW
2022-07-25 08:00:00,33.19,36.96,54.0,33.0,13.0,23.29,29.84,1.17,180.68,S
2022-07-25 09:00:00,34.99,33.14,55.5,32.5,13.5,5.14,16.87,2.33,155.15,SE
2022-07-25 10:00:00,36.0,30.27,57.0,34.0,14.0,11.52,20.05,3.46,161.57,S
2022-07-25 11:00:00,35.7,31.85,69.0,42.0,17.0,26.37,31.22,1.94,178.73,S
2022-07-25 12:00:00,33.92,41.51,60.0,36.0,15.0,57.19,45.21,2.34,126.87,SE
2022-07-25 13:00:00,34.29,37.63,50.5,31.0,13.0,39.38,37.69,3.2,76.22,E
2022-07-25 14:00:00,35.02,37.49,56.0,34.0,14.0,36.99,38.38,6.06,73.58,E
2022-07-25 15:00:00,34.74,38.34,62.5,38.5,16.0,40.75,41.5,4.13,70.75,E
2022-07-25 16:00:00,34.0,41.25,62.0,38.0,15.0,47.26,42.63,5.15,62.22,NE
2022-07-25 17:00:00,33.24,44.72,59.0,35.5,15.0,52.4,45.23,4.68,75.03,E
2022-07-25 18:00:00,31.23,51.58,61.0,37.0,15.0,64.38,48.72,4.83,120.32,SE
2022-07-25 19:00:00,29.69,57.16,60.5,36.0,14.5,72.6,44.63,3.24,174.25,S
2022-07-25 20:00:00,28.99,59.78,64.0,38.0,16.0,75.34,44.38,2.7,191.62,S
2022-07-25 21:00:00,28.26,58.74,60.0,36.0,15.0,63.36,37.05,2.43,223.65,SW
2022-07-25 22:00:00,28.62,55.36,63.0,38.0,15.0,61.64,37.48,1.86,230.35,SW
2022-07-25 23:00:00,28.07,57.48,65.0,39.5,16.0,65.07,50.37,1.72,236.15,SW
2022-07-26 00:00:00,27.63,60.95,67.0,40.0,16.0,65.07,48.3,0.61,252.12,W
2022-07-26 01:00:00,27.48,60.79,65.0,39.5,16.0,58.22,40.3,0.23,282.75,CALM
2022-07-26 02:00:00,27.1,77.65,89.0,53.0,21.0,65.07,41.14,0.17,270.95,CALM
2022-07-26 03:00:00,26.97,76.7,86.5,51.5,21.0,58.22,45.35,0.5,274.1,W
2022-07-26 04:00:00,26.26,78.23,88.0,52.0,21.0,54.79,54.15,0.99,108.87,E
2022-07-26 05:00:00,26.93,80.32,93.5,55.0,22.0,53.08,53.07,0.28,196.42,CALM
2022-07-26 06:00:00,27.38,71.53,84.0,50.0,20.0,47.95,40.58,0.89,206.7,SW
2022-07-26 07:00:00,27.66,74.4,98.5,58.0,23.0,54.79,43.41,0.45,142.25,CALM
2022-07-26 08:00:00,28.77,66.69,97.0,57.0,23.0,47.95,30.48,1.18,82.98,E
2022-07-26 09:00:00,31.06,46.48,69.0,42.5,17.0,19.18,19.65,2.01,68.38,E
2022-07-26 10:00:00,31.39,50.96,72.0,43.0,18.0,41.78,38.31,1.6,83.22,E
2022-07-26 11:00:00,31.56,58.46,73.0,44.0,18.0,54.45,43.4,2.33,68.68,E
2022-07-26 12:00:00,31.53,59.16,69.0,41.0,17.0,54.11,36.19,3.13,64.18,NE
2022-07-26 13:00:00,31.4,60.73,64.0,39.0,16.0,55.48,38.4,3.14,76.8,E
2022-07-26 14:00:00,31.39,64.27,53.0,33.0,14.0,60.27,37.79,3.05,87.37,E
2022-07-26 15:00:00,31.98,58.56,58.0,36.0,15.0,45.21,30.69,4.35,82.22,E
2022-07-26 16:00:00,31.26,54.74,61.0,37.0,15.0,41.1,31.72,5.38,77.45,E
2022-07-26 17:00:00,30.64,55.23,48.0,29.0,12.0,45.55,32.56,4.76,67.97,E
2022-07-26 18:00:00,29.51,64.15,45.0,27.0,11.0,68.49,39.32,6.58,70.63,E
2022-07-26 19:00:00,29.57,58.28,53.0,33.0,14.0,61.64,41.81,4.6,65.57,NE
2022-07-26 20:00:00,28.47,63.23,60.0,37.0,15.0,71.92,55.18,3.4,69.62,E
2022-07-26 21:00:00,28.58,63.03,64.0,39.5,16.5,68.49,69.28,1.6,106.62,E
2022-07-26 22:00:00,27.99,62.36,67.0,41.0,17.0,75.34,75.77,1.38,235.73,SW
2022-07-26 23:00:00,27.67,63.29,64.0,39.0,16.0,61.64,41.01,0.21,313.05,CALM
2022-07-27 00:00:00,27.71,58.78,70.0,42.0,17.0,47.95,33.35,0.22,258.08,CALM
2022-07-27 01:00:00,27.94,59.11,73.5,44.0,18.5,51.37,37.97,0.51,262.1,W
2022-07-27 02:00:00,27.11,67.49,82.0,49.0,20.0,44.52,48.32,0.64,248.67,W
2022-07-27 03:00:00,25.79,65.88,72.5,44.0,18.5,59.93,50.77,0.8,171.35,S
2022-07-27 04:00:00,25.7,58.15,63.0,38.0,16.0,54.79,66.32,0.48,188.52,CALM
2022-07-27 05:00:00,27.03,52.55,68.5,42.0,18.0,59.93,90.69,0.65,242.6,SW
2022-07-27 06:00:00,28.53,61.04,74.0,45.0,18.0,68.49,73.46,0.7,252.92,W
2022-07-27 07:00:00,28.48,71.43,92.0,55.0,22.0,59.93,63.83,0.36,248.28,CALM
2022-07-27 08:00:00,29.62,65.84,97.0,58.0,23.0,58.22,67.63,1.12,167.38,S
2022-07-27 09:00:00,31.43,57.9,81.5,49.0,20.0,39.38,45.26,1.72,67.5,NE
2022-07-27 10:00:00,32.24,53.37,75.0,46.0,19.0,34.93,37.87,2.58,52.73,NE
2022-07-27 11:00:00,32.96,45.82,69.5,42.5,17.5,18.84,32.16,2.49,75.67,E
2022-07-27 12:00:00,34.76,36.97,73.0,45.0,18.0,11.64,42.77,3.26,59.78,NE
2022-07-27 13:00:00,34.43,37.31,74.0,45.0,18.0,23.97,42.24,4.29,66.23,NE
2022-07-27 14:00:00,34.39,38.69,60.0,36.0,15.0,32.88,42.2,3.31,55.3,NE
2022-07-27 15:00:00,34.66,34.22,62.5,38.0,16.0,24.66,41.15,3.6,57.65,NE
2022-07-27 16:00:00,33.85,40.13,63.0,39.0,16.0,45.21,53.18,4.2,65.15,NE
2022-07-27 17:00:00,33.9,37.91,67.0,41.0,17.0,38.36,50.21,5.47,70.18,E
2022-07-27 18:00:00,32.78,40.5,59.0,35.0,14.0,45.21,55.62,5.0,72.07,E
2022-07-27 19:00:00,32.06,40.63,54.0,32.5,13.0,43.84,51.77,3.84,87.82,E
2022-07-27 20:00:00,32.01,42.12,53.0,32.0,13.0,59.59,65.68,2.39,175.2,S
2022-07-27 21:00:00,30.54,54.68,39.0,23.5,9.5,68.49,54.56,1.52,158.9,S
2022-07-27 22:00:00,29.96,51.24,60.0,37.0,15.0,71.92,91.04,0.21,266.45,CALM
2022-07-27 23:00:00,29.36,52.16,66.5,40.0,16.0,73.63,73.52,0.71,71.3,E
2022-07-28 00:00:00,29.88,51.5,71.0,42.0,17.0,61.64,60.81,0.29,257.48,CALM
2022-07-28 01:00:00,29.51,49.98,59.5,36.0,14.5,46.23,35.4,0.73,257.47,W
2022-07-28 02:00:00,29.16,50.76,56.0,33.0,14.0,54.79,35.08,0.36,260.32,CALM
2022-07-28 03:00:00,29.13,48.75,47.5,28.5,12.0,51.37,34.26,4.79,222.32,SW
2022-07-28 04:00:00,29.1,49.11,63.0,38.0,15.0,54.79,38.48,5.99,218.6,SW
2022-07-28 05:00:00,30.09,47.79,71.5,42.5,17.5,50.34,43.72,3.84,212.1,SW
2022-07-28 06:00:00,30.67,45.12,66.0,40.0,16.0,41.1,45.25,2.27,227.35,SW
2022-07-28 07:00:00,31.93,42.81,65.5,39.5,16.5,36.64,43.63,3.13,167.78,S
2022-07-28 08:00:00,34.01,37.33,54.0,33.0,13.0,23.29,36.62,2.37,176.08,S
2022-07-28 09:00:00,32.96,46.81,99.0,62.0,27.0,58.9,48.98,2.79,74.18,E
2022-07-28 10:00:00,33.29,51.28,80.0,49.5,21.0,56.16,51.87,3.22,97.02,E
2022-07-28 11:00:00,34.76,46.4,74.5,45.0,18.5,44.18,58.25,5.41,65.53,NE
2022-07-28 12:00:00,35.2,43.59,75.0,46.0,19.0,34.25,46.6,4.81,57.33,NE
2022-07-28 13:00:00,34.65,40.83,78.0,47.5,20.0,33.9,42.28,4.62,68.83,E
2022-07-28 14:00:00,34.64,39.12,67.0,41.0,17.0,32.88,32.39,4.19,66.85,NE
2022-07-28 15:00:00,34.39,38.57,65.5,40.0,17.0,34.59,47.62,5.09,63.88,NE
2022-07-28 16:00:00,33.83,43.64,69.0,42.0,18.0,55.48,47.81,4.35,63.67,NE
2022-07-28 17:00:00,32.96,42.47,68.5,41.5,17.0,38.7,44.05,3.42,72.33,E
2022-07-28 18:00:00,33.07,38.08,64.0,38.0,16.0,39.04,43.98,3.74,68.65,E
2022-07-28 19:00:00,32.37,37.23,61.0,37.0,15.0,54.11,63.51,3.37,74.72,E
2022-07-28 20:00:00,31.74,36.94,58.0,35.0,15.0,66.44,91.79,1.69,112.98,SE
2022-07-28 21:00:00,31.89,38.91,68.0,41.5,16.5,61.64,86.7,0.43,243.12,CALM
2022-07-28 22:00:00,31.72,39.74,65.0,39.0,16.0,43.84,48.58,0.37,257.4,CALM
2022-07-28 23:00:00,30.53,51.38,70.0,42.5,17.5,48.63,61.04,0.45,214.07,CALM
2022-07-29 00:00:00,29.59,50.74,65.0,39.0,16.0,61.64,55.4,1.25,176.77,S
2022-07-29 01:00:00,28.71,66.4,72.0,43.0,17.5,66.78,56.06,0.67,238.22,SW
2022-07-29 02:00:00,28.16,61.56,67.0,40.0,16.0,54.79,48.34,0.75,269.75,W
2022-07-29 03:00:00,27.86,57.75,51.5,30.5,12.5,51.37,44.68,0.95,188.67,S
2022-07-29 04:00:00,27.59,58.87,51.0,31.0,12.0,58.22,49.08,0.69,264.97,W
2022-07-29 05:00:00,28.13,59.58,49.5,30.0,12.0,66.78,65.73,0.42,276.3,CALM
2022-07-29 06:00:00,29.37,54.92,51.0,31.0,13.0,54.79,44.75,0.73,258.35,W
2022-07-29 07:00:00,29.33,59.35,45.0,27.0,11.0,51.37,39.79,1.17,273.5,W
