,windspeed,direction
2022-05-19 19:00:00,3.37,193.98
2022-05-19 20:00:00,3.11,298.98
2022-05-19 21:00:00,1.54,241.62
2022-05-19 22:00:00,0.87,231.73
2022-05-19 23:00:00,0.57,243.48
2022-05-20 00:00:00,0.49,204.83
2022-05-20 01:00:00,0.24,236.93
2022-05-20 02:00:00,0.41,276.9
2022-05-20 03:00:00,0.78,265.93
2022-05-20 04:00:00,0.5,265.62
2022-05-20 05:00:00,1.13,249.77
2022-05-20 06:00:00,0.54,289.5
2022-05-20 07:00:00,0.95,159.45
2022-05-20 08:00:00,1.92,72.02
2022-05-20 09:00:00,1.66,71.2
2022-05-20 10:00:00,2.67,64.43
2022-05-20 11:00:00,4.01,68.8
2022-05-20 12:00:00,4.22,73.63
2022-05-20 13:00:00,5.22,63.28
2022-05-20 14:00:00,5.81,71.45
2022-05-20 15:00:00,5.16,70.63
2022-05-20 16:00:00,4.91,73.38
2022-05-20 17:00:00,3.84,43.97
2022-05-20 18:00:00,3.09,99.03
2022-05-20 19:00:00,2.51,105.02
2022-05-20 20:00:00,2.47,251.32
2022-05-20 21:00:00,1.5,245.3
2022-05-20 22:00:00,0.56,244.9
2022-05-20 23:00:00,0.57,266.88
2022-05-21 00:00:00,0.76,255.7
2022-05-21 01:00:00,0.55,241.05
2022-05-21 02:00:00,0.85,249.1
2022-05-21 03:00:00,0.48,273.85
2022-05-21 04:00:00,0.99,242.55
2022-05-21 05:00:00,0.86,242.95
2022-05-21 06:00:00,1.15,244.25
2022-05-21 07:00:00,0.33,157.0
2022-05-21 08:00:00,1.5,71.52
2022-05-21 09:00:00,1.39,57.42
2022-05-21 10:00:00,1.71,65.3
2022-05-21 11:00:00,1.91,62.45
2022-05-21 12:00:00,2.14,81.92
2022-05-21 13:00:00,2.44,70.85
2022-05-21 14:00:00,3.4,64.2
2022-05-21 15:00:00,3.58,68.97
2022-05-21 16:00:00,4.18,69.7
2022-05-21 17:00:00,4.35,71.32
2022-05-21 18:00:00,2.74,79.63
2022-05-21 19:00:00,3.26,75.27
2022-05-21 20:00:00,1.7,103.1
2022-05-21 21:00:00,0.72,217.82
2022-05-21 22:00:00,1.06,270.12
2022-05-21 23:00:00,0.46,267.63
2022-05-22 00:00:00,0.36,253.92
2022-05-22 01:00:00,0.73,248.95
2022-05-22 02:00:00,0.61,242.05
2022-05-22 03:00:00,0.6,240.08
2022-05-22 04:00:00,0.52,240.33
2022-05-22 05:00:00,0.67,241.77
2022-05-22 06:00:00,0.47,230.3
2022-05-22 07:00:00,0.88,140.87
2022-05-22 08:00:00,0.94,61.23
2022-05-22 09:00:00,0.46,109.82
2022-05-22 10:00:00,2.4,73.67
2022-05-22 11:00:00,1.95,77.43
2022-05-22 12:00:00,2.45,167.95
2022-05-22 13:00:00,2.82,178.22
2022-05-22 14:00:00,3.39,191.53
2022-05-22 15:00:00,4.54,206.05
2022-05-22 16:00:00,2.47,194.33
2022-05-22 17:00:00,2.21,191.0
2022-05-22 18:00:00,1.7,193.82
2022-05-22 19:00:00,2.24,167.2
2022-05-22 20:00:00,2.08,282.95
2022-05-22 21:00:00,2.77,244.45
