,Unnamed: 0,no2_aemv,no2_wemv,ox_aemv,ox_wemv,temperature,humidity,pressure,pm_10,pm_2_5,pm_1_0,co,o3_ug/m3,no2_ug/m3,no2pluso3_ug/m3
1428,2022-05-22 01:00:00,226.0,229.5,231.0,234.0,20.275692,42.554228,1007.49497,18.5,11.0,4.5,511.28886679756647,-106.37627673347824,120.3721286040097,15.462210479160966
1429,2022-05-22 02:00:00,226.0,230.0,231.0,235.0,19.987501,44.732285,1007.17395,26.0,16.0,6.0,540.6270805301748,-106.48450411317518,123.83944639087032,17.35494227769513
1430,2022-05-22 03:00:00,226.5,232.0,232.0,235.5,19.3922205,50.2216395,1006.874125,33.5,21.0,9.0,587.514476674085,-121.17558910417486,130.53207686637816,11.031272410427476
1431,2022-05-22 04:00:00,227.0,232.0,232.0,235.0,19.391384,52.61656,1007.0321,31.0,19.0,8.0,623.9943786151523,-125.63793711375509,130.47805435610127,4.840543286296182
1432,2022-05-22 05:00:00,228.0,230.5,233.0,236.0,20.494165,56.5739345,1007.153675,36.5,22.5,9.5,534.6795662222676,-105.30887486963232,113.7848130412057,5.375385395448468
1433,2022-05-22 06:00:00,228.0,229.0,233.0,235.0,20.958336,58.68921,1007.09485,42.0,26.0,11.0,501.11397184938704,-96.89137161457944,103.8426758398376,6.947142018749105
1434,2022-05-22 07:00:00,228.0,229.0,234.0,233.0,23.1059725,52.9812275,1006.951125,44.5,27.5,12.0,578.122738948167,-105.40111119278646,103.0730220127183,-14.409325637322532
1435,2022-05-22 08:00:00,228.0,226.0,232.0,237.0,25.449442,43.501247,1006.3266,62.0,36.0,14.0,404.4802024353575,-53.75591709971243,83.08061423589444,34.51533940873306
1436,2022-05-22 09:00:00,228.5,225.0,234.0,237.5,29.4619425,39.38299,1005.820645,40.5,25.0,11.0,448.54542388556433,-46.72301951010279,56.70261824989595,11.115716078400716
1437,2022-05-22 10:00:00,224.0,210.0,230.0,227.0,32.261112,28.144478,1005.3979,31.0,19.0,8.0,211.7411513649268,71.41749989761075,-27.42091480123675,51.453798861232144
1438,2022-05-22 11:00:00,223.0,208.0,230.0,229.0,33.9520875,23.6927625,1004.852885,20.0,12.5,5.0,277.6902764311287,101.23232857848426,-32.227640696539,69.00468788194524
1439,2022-05-22 12:00:00,219.0,207.0,225.0,228.0,33.860004,23.19176,1004.2767,17.0,10.0,4.0,277.7512237010267,135.63324214338147,-23.54417057275684,112.15741420752452
1440,2022-05-22 13:00:00,220.0,217.0,226.5,237.0,32.1472225,27.906386,1003.9795,21.0,13.0,5.0,464.51553536813606,95.71986363260945,33.64596413783731,128.4700313209364
1441,2022-05-22 14:00:00,221.0,214.0,227.0,234.0,33.488884,24.514025,1003.1787,16.0,10.0,4.0,345.22761562412575,97.75558720718908,9.921309867495768,107.67689707468485
1442,2022-05-22 15:00:00,220.0,215.0,226.0,235.0,32.841115,25.1289605,1002.99515,18.0,11.0,4.5,375.46075268171967,102.01529542978224,19.8705520117907,124.05794967057204
1443,2022-05-22 16:00:00,221.0,217.0,227.0,236.0,32.310555,26.923096,1003.04755,18.0,11.0,4.0,421.5665666681984,84.45326006072581,33.58050982101694,118.47838614035248
1444,2022-05-22 17:00:00,221.0,222.0,227.0,238.0,30.2831905,31.414795,1003.96105,14.5,9.0,3.0,472.3795358635207,56.40407828723887,61.48516898237901,116.84242181282892
1445,2022-05-22 18:00:00,223.0,231.0,229.0,250.0,28.001106,43.565998,1004.5071,40.0,25.0,11.0,617.4910924504974,-28.627997096849096,151.2332147224229,116.87653136738234
1446,2022-05-22 19:00:00,224.0,232.0,227.5,246.5,25.3713865,51.28901,1005.485915,22.0,13.5,5.5,516.6351140301548,-48.51118299677552,159.624315907545,105.16251190922802
1447,2022-05-22 20:00:00,228.0,235.0,233.0,243.0,22.304443,68.43961,1005.4954,26.0,16.0,7.0,740.4480465103775,-115.5411558026602,135.45385070210952,21.96546489199565
1448,2022-05-22 21:00:00,226.5,225.5,232.0,234.5,24.6991655,48.5275745,1005.3468,17.0,10.0,4.0,305.3710123466782,-62.68282561512984,89.56143369087684,24.977087267508157
1449,2022-05-22 22:00:00,226.0,224.0,231.0,234.0,24.591665,45.05808,1005.2624,18.0,11.0,5.0,274.1766158107735,-52.29554564104489,83.15412671630666,30.89343373503801
1450,2022-05-22 23:00:00,226.0,225.0,231.0,235.0,24.275556,45.3498,1005.672715,18.0,11.0,4.0,279.1023771870186,-49.667617385077065,89.71825170050585,37.62422565331612
1451,2022-05-23 00:00:00,226.0,225.0,231.0,237.0,23.47805,47.687527,1005.4075,14.0,8.0,3.0,269.5601626979345,-43.65919151516423,89.94898538634129,46.283943722061366
1452,2022-05-23 01:00:00,226.0,225.0,231.0,236.5,23.566946,46.736084000000005,1005.470225,17.0,10.0,4.0,256.9481421215981,-44.5705274236993,89.92052447428605,45.35094881076349
1453,2022-05-23 02:00:00,226.0,230.0,231.0,237.0,21.806114,66.14963,1005.59985,31.0,19.0,8.0,400.8181011900631,-85.82150358431267,122.84435615095336,36.95464068928602
1454,2022-05-23 03:00:00,226.0,227.0,232.0,231.0,20.744443,67.59423,1005.22916,35.0,21.0,9.0,490.9788800120865,-100.83205142838204,100.49536289844195,-1.0315886867180453
1455,2022-05-23 04:00:00,228.0,229.0,233.0,233.0,20.658888,68.8001,1005.352,48.0,29.0,12.0,590.2734948304915,-118.81037595041867,110.20623009833106,-8.604145852087626
1456,2022-05-23 05:00:00,228.0,229.0,233.0,233.0,21.0077785,66.41555500000001,1005.476835,51.5,30.5,12.5,683.6540001203348,-109.4982603055629,103.66738346524696,-7.599274072801144
