,OLSR,SARIMAX
MAE,2.28368243211735,1.2058694697925536
MSE,6.890650596640523,2.6291977633989347
MAPE,0.3033219101686863,0.39454636234414714
R2,-0.41157973874979237,0.5015243099558888
