Device;Datetime;"Dew Point (C)";"H2S GCC (ppb)";"Humidity ext (%)";"NO2 GCc (ppb)";"O3 GCc (ppb)";"PM1 (ug/m3)";"PM2.5 (ug/m3)";"PM10 (ug/m3)";"Temp ext (C)";
"K-A3 GRECiOT 1";2022-09-04 23:56:54;22,29;26,88;93,87;33,69;41,93;8,54;9,39;10,43;23,34;
"K-A3 GRECiOT 1";2022-09-04 23:51:55;22,02;25,43;91,27;33,99;42,37;9,56;10,42;11,59;23,52;
"K-A3 GRECiOT 1";2022-09-04 23:46:52;22,43;24,63;89,84;27,52;50,39;11,50;12,59;15,51;24,20;
"K-A3 GRECiOT 1";2022-09-04 23:41:55;21,93;28,97;82,17;30,50;47,97;16,09;17,93;40,74;25,19;
"K-A3 GRECiOT 1";2022-09-04 23:36:52;21,62;23,78;77,83;27,73;44,59;16,75;18,47;25,92;25,79;
"K-A3 GRECiOT 1";2022-09-04 23:31:55;21,47;19,29;75,44;25,90;45,84;16,75;18,39;21,59;26,16;
"K-A3 GRECiOT 1";2022-09-04 23:26:54;21,73;16,91;76,01;26,83;35,43;14,05;15,19;17,37;26,30;
"K-A3 GRECiOT 1";2022-09-04 23:21:52;21,24;15,25;73,66;25,64;36,26;13,36;14,31;16,49;26,32;
"K-A3 GRECiOT 1";2022-09-04 23:16:54;21,55;11,39;74,72;20,91;39,09;12,24;13,15;14,91;26,41;
"K-A3 GRECiOT 1";2022-09-04 23:11:53;21,45;12,44;73,97;20,09;40,83;12,00;12,91;14,95;26,47;
"K-A3 GRECiOT 1";2022-09-04 23:06:56;21,15;10,34;72,55;18,41;40,73;11,90;12,77;14,73;26,49;
"K-A3 GRECiOT 1";2022-09-04 23:01:55;20,89;7,54;71,56;15,65;43,00;11,80;12,67;14,24;26,45;
"K-A3 GRECiOT 1";2022-09-04 22:56:53;21,11;7,55;72,90;16,01;40,48;11,64;12,51;14,25;26,37;
"K-A3 GRECiOT 1";2022-09-04 22:51:54;21,07;10,29;72,55;19,49;39,71;12,50;13,50;15,91;26,41;
"K-A3 GRECiOT 1";2022-09-04 22:46:53;20,94;11,61;72,20;26,61;29,72;12,49;13,51;15,57;26,35;
"K-A3 GRECiOT 1";2022-09-04 22:41:54;20,88;9,97;72,00;20,09;40,61;12,64;13,63;15,93;26,34;
"K-A3 GRECiOT 1";2022-09-04 22:36:53;20,93;10,92;72,07;20,46;40,90;12,51;13,56;16,82;26,37;
"K-A3 GRECiOT 1";2022-09-04 22:31:56;20,97;13,53;72,21;22,51;38,37;12,56;13,56;16,76;26,38;
"K-A3 GRECiOT 1";2022-09-04 22:26:55;20,99;13,54;72,33;24,33;36,66;13,07;14,10;17,55;26,37;
"K-A3 GRECiOT 1";2022-09-04 22:21:53;21,02;11,96;72,20;20,48;43,85;13,26;14,30;17,88;26,44;
"K-A3 GRECiOT 1";2022-09-04 22:16:54;21,14;16,86;72,26;24,93;39,23;13,41;14,48;17,79;26,55;
"K-A3 GRECiOT 1";2022-09-04 22:11:52;21,11;17,74;72,07;27,17;37,22;12,85;13,86;16,25;26,56;
"K-A3 GRECiOT 1";2022-09-04 22:06:56;20,92;14,16;71,22;24,26;40,25;12,58;13,56;16,23;26,56;
"K-A3 GRECiOT 1";2022-09-04 22:01:55;20,97;12,93;71,19;21,97;43,72;12,59;13,63;16,87;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:56:53;20,99;15,81;71,27;24,38;40,70;12,65;13,73;16,63;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:51:55;20,91;13,38;71,29;22,14;42,70;12,57;13,55;16,46;26,54;
"K-A3 GRECiOT 1";2022-09-04 21:46:53;20,92;14,31;71,41;24,47;41,96;12,84;13,90;16,99;26,52;
"K-A3 GRECiOT 1";2022-09-04 21:41:55;20,90;16,41;71,43;25,52;40,78;12,99;14,09;16,63;26,49;
"K-A3 GRECiOT 1";2022-09-04 21:36:53;20,90;15,39;71,50;23,21;45,43;12,77;13,89;16,80;26,48;
"K-A3 GRECiOT 1";2022-09-04 21:31:56;20,91;16,95;71,24;25,08;44,77;12,66;13,79;17,03;26,55;
"K-A3 GRECiOT 1";2022-09-04 21:26:55;20,92;17,58;70,96;24,12;46,26;13,07;14,23;17,99;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:21:53;20,92;18,29;71,02;28,63;38,16;12,92;14,00;17,29;26,60;
"K-A3 GRECiOT 1";2022-09-04 21:16:54;20,90;18,53;70,91;28,95;38,67;13,25;14,37;17,81;26,62;
"K-A3 GRECiOT 1";2022-09-04 21:11:53;20,92;21,44;70,87;31,02;36,70;12,99;14,13;16,91;26,65;
"K-A3 GRECiOT 1";2022-09-04 21:06:56;20,90;18,92;70,54;26,62;45,00;12,57;13,67;17,05;26,71;
"K-A3 GRECiOT 1";2022-09-04 21:01:55;20,89;20,72;70,09;26,68;45,60;12,68;13,76;16,39;26,81;
"K-A3 GRECiOT 1";2022-09-04 20:56:53;20,87;18,94;69,75;26,52;45,34;12,76;13,86;16,73;26,86;
"K-A3 GRECiOT 1";2022-09-04 20:51:55;20,92;19,52;69,97;28,12;43,03;12,57;13,64;16,45;26,86;
"K-A3 GRECiOT 1";2022-09-04 20:46:53;20,97;21,67;70,12;29,86;42,26;12,57;13,70;17,80;26,87;
"K-A3 GRECiOT 1";2022-09-04 20:41:55;21,02;21,49;69,84;27,97;48,09;12,68;13,86;17,60;27,00;
"K-A3 GRECiOT 1";2022-09-04 20:36:53;20,99;23,77;69,52;31,01;43,72;12,52;13,68;17,67;27,05;
"K-A3 GRECiOT 1";2022-09-04 20:31:56;20,82;25,44;68,73;32,52;40,64;12,39;13,54;16,61;27,06;
"K-A3 GRECiOT 1";2022-09-04 20:26:55;20,69;23,46;67,82;29,95;43,27;12,53;13,74;17,72;27,16;
"K-A3 GRECiOT 1";2022-09-04 20:21:53;20,75;29,46;67,62;31,91;38,31;12,24;13,40;16,82;27,27;
"K-A3 GRECiOT 1";2022-09-04 20:16:54;20,72;24,08;67,30;29,47;41,46;12,51;13,71;17,08;27,32;
"K-A3 GRECiOT 1";2022-09-04 20:11:53;20,85;23,64;67,49;31,93;38,89;11,91;12,97;16,07;27,40;
"K-A3 GRECiOT 1";2022-09-04 20:06:56;20,86;24,56;67,39;32,38;39,76;11,41;12,44;14,95;27,44;
"K-A3 GRECiOT 1";2022-09-04 20:01:55;20,87;24,15;67,30;31,08;42,47;11,52;12,57;15,42;27,47;
"K-A3 GRECiOT 1";2022-09-04 19:56:53;20,93;26,76;67,11;33,02;41,73;11,48;12,55;15,63;27,58;
"K-A3 GRECiOT 1";2022-09-04 19:51:55;20,90;26,42;66,66;33,67;40,24;12,06;13,15;16,67;27,67;
"K-A3 GRECiOT 1";2022-09-04 19:46:53;20,84;26,36;66,21;33,87;39,25;11,74;12,77;15,41;27,72;
"K-A3 GRECiOT 1";2022-09-04 19:41:55;20,85;25,55;65,86;33,00;41,94;11,70;12,81;16,00;27,83;
"K-A3 GRECiOT 1";2022-09-04 19:36:52;20,89;26,35;65,41;33,75;40,90;11,72;12,85;15,89;27,98;
"K-A3 GRECiOT 1";2022-09-04 19:31:56;20,88;26,38;64,84;35,11;39,57;11,84;13,00;16,48;28,12;
"K-A3 GRECiOT 1";2022-09-04 19:26:55;20,86;27,26;65,23;37,06;34,82;11,33;12,46;15,90;27,99;
"K-A3 GRECiOT 1";2022-09-04 19:21:53;20,87;26,21;64,65;32,53;46,37;11,46;12,72;16,11;28,16;
"K-A3 GRECiOT 1";2022-09-04 19:16:55;20,85;24,96;63,92;34,63;43,29;11,46;12,64;15,75;28,33;
"K-A3 GRECiOT 1";2022-09-04 19:11:53;20,88;23,09;63,40;33,96;43,79;11,09;12,24;15,78;28,50;
"K-A3 GRECiOT 1";2022-09-04 19:06:56;20,84;25,08;63,39;35,85;39,83;11,15;12,39;15,62;28,47;
"K-A3 GRECiOT 1";2022-09-04 19:01:55;20,85;23,06;62,59;32,70;46,74;11,09;12,20;14,96;28,70;
"K-A3 GRECiOT 1";2022-09-04 18:56:53;20,84;22,62;61,72;34,61;42,55;11,30;12,50;15,71;28,93;
"K-A3 GRECiOT 1";2022-09-04 18:51:55;20,88;21,13;61,39;34,35;42,60;10,62;11,86;14,71;29,07;
"K-A3 GRECiOT 1";2022-09-04 18:46:53;20,95;22,25;60,39;32,09;46,59;10,51;11,75;14,45;29,42;
"K-A3 GRECiOT 1";2022-09-04 18:41:54;20,82;23,89;59,25;34,13;43,44;10,43;11,61;16,00;29,62;
"K-A3 GRECiOT 1";2022-09-04 18:36:52;20,81;25,60;59,15;35,74;40,50;10,31;11,55;15,72;29,63;
"K-A3 GRECiOT 1";2022-09-04 18:31:55;20,56;23,72;57,96;34,03;43,96;10,30;11,48;14,63;29,72;
"K-A3 GRECiOT 1";2022-09-04 18:26:55;20,42;22,97;57,08;32,10;45,03;9,76;10,91;14,48;29,83;
"K-A3 GRECiOT 1";2022-09-04 18:21:53;20,28;20,30;56,51;30,85;44,85;9,73;10,89;14,07;29,86;
"K-A3 GRECiOT 1";2022-09-04 18:16:55;20,35;19,92;55,74;29,18;47,34;9,55;10,67;13,15;30,17;
"K-A3 GRECiOT 1";2022-09-04 18:11:53;20,28;18,18;55,07;27,55;47,47;9,27;10,34;12,67;30,31;
"K-A3 GRECiOT 1";2022-09-04 18:06:55;20,23;17,27;54,46;25,71;50,74;9,49;10,65;13,90;30,45;
"K-A3 GRECiOT 1";2022-09-04 18:01:55;20,49;17,38;54,00;22,85;56,62;9,46;10,49;14,07;30,88;
"K-A3 GRECiOT 1";2022-09-04 17:56:53;20,34;20,83;53,30;26,24;49,50;9,33;10,57;13,53;30,95;
"K-A3 GRECiOT 1";2022-09-04 17:51:54;20,29;13,97;50,91;19,54;53,79;9,91;11,17;14,06;31,70;
"K-A3 GRECiOT 1";2022-09-04 17:46:53;20,36;12,34;50,07;19,48;51,84;9,49;10,70;14,46;32,07;
"K-A3 GRECiOT 1";2022-09-04 17:41:55;20,37;12,00;50,18;19,64;50,07;9,30;10,47;13,88;32,04;
"K-A3 GRECiOT 1";2022-09-04 17:36:53;20,04;9,10;49,18;16,96;52,80;9,18;10,21;13,15;32,04;
"K-A3 GRECiOT 1";2022-09-04 17:31:56;20,37;12,29;50,52;20,12;49,87;9,06;10,24;13,05;31,93;
"K-A3 GRECiOT 1";2022-09-04 17:26:55;20,14;8,56;49,07;15,97;55,63;9,29;10,46;13,62;32,18;
"K-A3 GRECiOT 1";2022-09-04 17:21:53;20,27;9,37;49,43;18,28;52,89;9,16;10,37;13,38;32,20;
"K-A3 GRECiOT 1";2022-09-04 17:16:55;20,36;10,31;50,68;19,55;52,42;8,75;9,80;13,19;31,85;
"K-A3 GRECiOT 1";2022-09-04 17:11:53;20,47;12,89;51,30;20,37;56,18;9,08;10,17;12,97;31,76;
"K-A3 GRECiOT 1";2022-09-04 17:06:56;20,59;13,71;51,53;21,73;56,77;9,34;10,57;13,24;31,81;
"K-A3 GRECiOT 1";2022-09-04 17:01:55;20,54;14,26;51,40;21,03;57,13;9,15;10,14;12,89;31,80;
"K-A3 GRECiOT 1";2022-09-04 16:56:53;20,49;15,90;50,88;20,85;57,51;9,42;10,39;13,80;31,93;
"K-A3 GRECiOT 1";2022-09-04 16:51:55;20,26;15,28;49,77;21,33;55,92;9,68;10,79;12,74;32,07;
"K-A3 GRECiOT 1";2022-09-04 16:46:53;19,98;10,28;48,53;17,64;58,88;9,11;10,09;12,55;32,21;
"K-A3 GRECiOT 1";2022-09-04 16:41:55;20,75;10,18;50,83;17,17;58,40;8,37;9,31;12,39;32,22;
"K-A3 GRECiOT 1";2022-09-04 16:36:53;20,37;15,05;49,55;21,19;58,98;8,80;9,71;12,57;32,27;
"K-A3 GRECiOT 1";2022-09-04 16:31:56;20,46;11,90;49,00;19,46;58,25;8,71;9,72;11,98;32,57;
"K-A3 GRECiOT 1";2022-09-04 16:26:54;20,51;9,41;48,49;18,17;58,22;8,37;9,31;11,37;32,80;
"K-A3 GRECiOT 1";2022-09-04 16:21:53;20,13;9,69;47,32;19,31;57,45;8,18;9,03;11,44;32,82;
"K-A3 GRECiOT 1";2022-09-04 16:16:55;19,99;5,91;47,35;17,89;55,59;7,93;8,76;11,34;32,65;
"K-A3 GRECiOT 1";2022-09-04 16:11:53;19,77;11,66;48,11;19,16;56,65;7,79;8,67;11,05;32,12;
"K-A3 GRECiOT 1";2022-09-04 16:06:56;19,57;7,63;46,39;15,29;59,22;7,79;8,63;11,29;32,55;
"K-A3 GRECiOT 1";2022-09-04 16:01:55;19,51;2,24;44,92;10,72;60,78;7,62;8,37;9,82;33,06;
"K-A3 GRECiOT 1";2022-09-04 15:56:53;19,59;0,59;45,35;9,77;59,21;7,57;8,36;10,49;32,98;
"K-A3 GRECiOT 1";2022-09-04 15:51:55;19,49;0,00;44,29;7,55;61,41;7,50;8,15;8,98;33,29;
"K-A3 GRECiOT 1";2022-09-04 15:46:53;19,97;0,00;45,85;12,54;53,11;7,76;8,52;10,26;33,20;
"K-A3 GRECiOT 1";2022-09-04 15:41:55;19,63;1,05;45,14;16,71;50,38;8,09;8,88;11,52;33,10;
"K-A3 GRECiOT 1";2022-09-04 15:36:53;19,58;1,05;45,21;13,82;54,97;7,81;8,49;10,04;33,02;
"K-A3 GRECiOT 1";2022-09-04 15:31:55;19,92;1,41;46,70;13,45;54,90;8,16;8,92;10,12;32,82;
"K-A3 GRECiOT 1";2022-09-04 15:26:55;19,74;2,19;45,91;9,84;64,17;8,55;9,35;11,06;32,93;
"K-A3 GRECiOT 1";2022-09-04 15:21:53;19,49;0,00;45,25;8,56;64,00;8,42;9,16;10,67;32,90;
"K-A3 GRECiOT 1";2022-09-04 15:16:55;19,62;3,04;46,21;9,56;62,33;8,36;9,13;10,64;32,68;
"K-A3 GRECiOT 1";2022-09-04 15:11:53;19,54;0,00;45,45;5,06;66,34;8,61;9,41;11,14;32,89;
"K-A3 GRECiOT 1";2022-09-04 15:06:56;19,61;1,04;45,27;8,19;62,80;8,39;9,18;10,93;33,03;
"K-A3 GRECiOT 1";2022-09-04 15:01:55;19,84;0,00;45,07;5,78;61,29;8,51;9,38;11,38;33,37;
"K-A3 GRECiOT 1";2022-09-04 14:56:52;19,53;1,90;45,59;11,68;54,94;8,24;9,02;10,47;32,82;
"K-A3 GRECiOT 1";2022-09-04 14:51:55;19,47;0,00;45,25;6,21;61,86;8,16;8,93;10,59;32,89;
"K-A3 GRECiOT 1";2022-09-04 14:46:53;19,26;0,00;44,63;4,63;64,11;8,33;9,05;10,95;32,90;
"K-A3 GRECiOT 1";2022-09-04 14:41:55;19,31;0,00;45,82;6,63;59,27;8,28;8,98;10,45;32,49;
"K-A3 GRECiOT 1";2022-09-04 14:36:53;19,32;0,00;45,91;5,80;63,50;8,76;9,56;11,40;32,46;
"K-A3 GRECiOT 1";2022-09-04 14:31:56;19,46;0,00;47,96;10,99;59,56;8,83;9,60;11,30;31,84;
"K-A3 GRECiOT 1";2022-09-04 14:26:55;19,40;1,31;49,30;13,14;60,47;9,15;9,99;11,26;31,29;
"K-A3 GRECiOT 1";2022-09-04 14:21:53;19,50;8,60;50,60;18,67;53,01;9,25;10,10;11,83;30,95;
"K-A3 GRECiOT 1";2022-09-04 14:16:55;19,33;2,93;48,04;9,04;66,04;9,63;10,45;12,17;31,67;
"K-A3 GRECiOT 1";2022-09-04 14:11:53;19,51;0,00;47,28;7,63;63,36;9,12;9,98;11,70;32,15;
"K-A3 GRECiOT 1";2022-09-04 14:06:56;19,21;0,82;46,73;8,33;62,46;8,94;9,79;11,82;32,03;
"K-A3 GRECiOT 1";2022-09-04 14:01:55;19,34;0,00;45,51;3,71;63,27;8,88;9,65;12,22;32,65;
"K-A3 GRECiOT 1";2022-09-04 13:56:53;19,81;0,00;46,61;2,96;61,50;8,76;9,60;11,11;32,73;
"K-A3 GRECiOT 1";2022-09-04 13:51:55;19,61;0,00;45,93;7,15;56,91;8,64;9,44;10,95;32,78;
"K-A3 GRECiOT 1";2022-09-04 13:46:53;19,79;0,00;47,07;8,03;56,43;8,77;9,55;11,21;32,54;
"K-A3 GRECiOT 1";2022-09-04 13:41:55;19,73;0,00;47,52;7,79;58,49;8,95;9,77;11,41;32,31;
"K-A3 GRECiOT 1";2022-09-04 13:36:53;19,62;0,00;47,55;8,73;58,85;9,20;10,05;12,44;32,17;
"K-A3 GRECiOT 1";2022-09-04 13:31:57;19,64;0,00;48,70;10,36;56,58;9,04;9,79;12,66;31,77;
"K-A3 GRECiOT 1";2022-09-04 13:26:55;19,57;0,00;48,22;9,00;59,87;9,76;10,62;12,79;31,87;
"K-A3 GRECiOT 1";2022-09-04 13:21:53;19,28;0,00;47,94;9,60;58,10;9,60;10,49;12,39;31,66;
"K-A3 GRECiOT 1";2022-09-04 13:16:55;19,02;0,00;46,90;4,89;61,74;9,64;10,54;12,36;31,76;
"K-A3 GRECiOT 1";2022-09-04 13:11:53;19,59;0,00;47,98;1,07;65,01;9,74;10,66;12,67;31,98;
"K-A3 GRECiOT 1";2022-09-04 13:06:56;19,74;0,00;47,73;3,82;59,23;9,84;10,75;12,94;32,24;
"K-A3 GRECiOT 1";2022-09-04 13:01:55;19,77;0,00;48,51;6,20;57,29;9,54;10,43;11,77;31,98;
"K-A3 GRECiOT 1";2022-09-04 12:56:53;19,52;0,00;48,50;7,28;57,47;9,92;10,74;12,20;31,72;
"K-A3 GRECiOT 1";2022-09-04 12:51:55;19,71;0,00;48,60;3,12;61,18;10,30;11,21;13,69;31,88;
"K-A3 GRECiOT 1";2022-09-04 12:46:53;19,49;0,00;48,13;4,69;58,39;10,27;11,13;12,91;31,81;
"K-A3 GRECiOT 1";2022-09-04 12:41:55;19,63;0,00;47,63;0,00;62,15;10,16;11,06;13,54;32,15;
"K-A3 GRECiOT 1";2022-09-04 12:36:53;19,83;0,00;47,85;0,62;57,76;10,18;11,11;12,86;32,30;
"K-A3 GRECiOT 1";2022-09-04 12:31:56;19,72;0,00;48,55;5,32;51,46;12,00;13,02;14,57;31,91;
"K-A3 GRECiOT 1";2022-09-04 12:26:55;19,32;0,00;48,45;6,95;50,66;9,47;10,24;11,83;31,52;
"K-A3 GRECiOT 1";2022-09-04 12:21:53;19,46;0,00;49,61;3,74;54,45;9,49;10,27;12,31;31,25;
"K-A3 GRECiOT 1";2022-09-04 12:16:55;19,05;0,00;49,63;7,67;50,60;9,95;10,83;13,32;30,79;
"K-A3 GRECiOT 1";2022-09-04 12:11:52;19,26;0,00;50,45;1,73;55,60;9,78;10,65;12,27;30,74;
"K-A3 GRECiOT 1";2022-09-04 12:06:56;19,37;0,00;51,42;11,98;42,51;9,83;10,74;12,32;30,53;
"K-A3 GRECiOT 1";2022-09-04 12:01:55;19,18;0,00;50,86;7,98;47,29;9,84;10,75;12,90;30,51;
"K-A3 GRECiOT 1";2022-09-04 11:56:52;18,64;0,00;48,77;5,43;50,33;10,16;11,11;13,84;30,65;
"K-A3 GRECiOT 1";2022-09-04 11:51:55;19,32;0,00;50,86;1,68;51,95;9,44;10,30;12,73;30,67;
"K-A3 GRECiOT 1";2022-09-04 11:46:53;19,54;0,00;52,61;6,32;46,30;9,23;10,09;12,04;30,31;
"K-A3 GRECiOT 1";2022-09-04 11:41:55;19,55;0,00;52,75;7,44;47,61;9,71;10,62;12,32;30,27;
"K-A3 GRECiOT 1";2022-09-04 11:36:53;19,30;0,00;52,84;9,53;45,06;9,93;10,87;12,19;29,97;
"K-A3 GRECiOT 1";2022-09-04 11:31:56;19,48;0,00;53,54;9,38;43,55;10,03;10,99;12,97;29,94;
"K-A3 GRECiOT 1";2022-09-04 11:26:55;19,40;0,00;53,61;9,85;41,61;10,60;11,62;13,44;29,83;
"K-A3 GRECiOT 1";2022-09-04 11:21:53;19,29;0,00;52,96;8,02;43,98;10,64;11,65;13,76;29,92;
"K-A3 GRECiOT 1";2022-09-04 11:16:55;19,59;0,00;53,59;7,75;41,56;10,21;11,28;12,52;30,04;
"K-A3 GRECiOT 1";2022-09-04 11:11:53;19,55;0,00;54,29;7,03;43,38;10,40;11,53;13,55;29,77;
"K-A3 GRECiOT 1";2022-09-04 11:06:56;19,44;1,40;53,68;9,14;40,07;11,06;12,19;14,13;29,85;
"K-A3 GRECiOT 1";2022-09-04 11:01:55;19,20;0,00;52,03;4,60;42,89;10,12;11,02;13,61;30,13;
"K-A3 GRECiOT 1";2022-09-04 10:56:53;18,45;0,00;50,47;4,83;42,57;10,71;11,70;13,97;29,85;
"K-A3 GRECiOT 1";2022-09-04 10:51:55;18,28;0,00;50,09;0,00;48,29;10,01;10,89;12,28;29,79;
"K-A3 GRECiOT 1";2022-09-04 10:46:53;18,08;0,00;49,75;0,00;45,17;11,03;11,97;13,81;29,69;
"K-A3 GRECiOT 1";2022-09-04 10:41:55;18,69;0,00;52,29;0,00;40,61;8,68;9,48;11,50;29,49;
"K-A3 GRECiOT 1";2022-09-04 10:36:52;19,09;0,00;54,01;1,91;38,47;9,09;10,02;11,93;29,36;
"K-A3 GRECiOT 1";2022-09-04 10:31:56;19,25;0,08;54,37;4,08;36,54;10,31;11,27;14,01;29,42;
"K-A3 GRECiOT 1";2022-09-04 10:26:55;19,04;2,23;54,47;6,27;32,71;12,21;13,22;15,49;29,17;
"K-A3 GRECiOT 1";2022-09-04 10:21:53;19,20;2,24;55,32;3,46;37,48;8,28;9,00;10,71;29,07;
"K-A3 GRECiOT 1";2022-09-04 10:16:55;19,08;0,44;55,59;3,76;36,86;8,15;8,85;10,39;28,86;
"K-A3 GRECiOT 1";2022-09-04 10:11:52;19,02;0,00;55,89;3,35;38,64;8,06;8,71;10,67;28,70;
"K-A3 GRECiOT 1";2022-09-04 10:06:56;19,08;0,00;56,42;4,21;36,99;8,19;8,88;10,90;28,60;
"K-A3 GRECiOT 1";2022-09-04 10:01:55;19,54;1,36;58,92;5,25;34,89;7,55;8,19;10,38;28,35;
"K-A3 GRECiOT 1";2022-09-04 09:56:53;18,68;3,54;56,47;11,09;32,05;8,93;9,73;12,24;28,15;
"K-A3 GRECiOT 1";2022-09-04 09:51:55;18,57;0,00;56,78;6,00;35,96;8,73;9,44;10,78;27,94;
"K-A3 GRECiOT 1";2022-09-04 09:46:53;18,05;0,00;56,20;4,83;37,49;8,20;8,80;10,21;27,56;
"K-A3 GRECiOT 1";2022-09-04 09:41:55;17,97;0,00;56,73;3,81;39,47;8,11;8,75;10,35;27,32;
"K-A3 GRECiOT 1";2022-09-04 09:36:53;17,66;0,00;56,51;5,14;37,93;7,61;8,22;9,38;27,05;
"K-A3 GRECiOT 1";2022-09-04 09:31:56;17,56;0,00;56,93;3,67;39,82;7,75;8,41;10,66;26,82;
"K-A3 GRECiOT 1";2022-09-04 09:26:55;17,44;0,00;57,43;5,92;37,40;8,73;9,46;11,45;26,54;
"K-A3 GRECiOT 1";2022-09-04 09:21:53;17,11;0,00;57,16;8,18;35,68;7,43;8,02;9,13;26,27;
"K-A3 GRECiOT 1";2022-09-04 09:16:55;16,94;0,00;57,77;6,60;36,91;7,99;8,64;9,79;25,90;
"K-A3 GRECiOT 1";2022-09-04 09:11:52;16,79;0,00;58,29;4,01;41,09;6,61;7,13;7,89;25,59;
"K-A3 GRECiOT 1";2022-09-04 09:06:56;16,94;0,00;60,07;6,60;38,18;6,80;7,34;8,34;25,25;
"K-A3 GRECiOT 1";2022-09-04 09:01:55;16,81;0,00;60,57;9,45;36,31;6,49;6,99;8,56;24,97;
"K-A3 GRECiOT 1";2022-09-04 08:56:53;16,63;0,00;60,94;2,92;43,61;5,91;6,31;7,65;24,67;
"K-A3 GRECiOT 1";2022-09-04 08:51:55;17,00;0,00;63,15;9,19;36,21;6,23;6,72;8,17;24,47;
"K-A3 GRECiOT 1";2022-09-04 08:46:53;17,46;8,78;66,05;15,94;27,57;7,15;7,78;9,75;24,20;
"K-A3 GRECiOT 1";2022-09-04 08:41:54;17,39;7,58;66,56;20,50;22,48;7,37;7,96;9,88;24,00;
"K-A3 GRECiOT 1";2022-09-04 08:36:53;17,35;8,26;67,11;18,56;25,44;7,25;7,82;9,27;23,82;
"K-A3 GRECiOT 1";2022-09-04 08:31:56;17,28;7,61;67,52;17,51;27,61;7,22;7,84;9,34;23,65;
"K-A3 GRECiOT 1";2022-09-04 08:26:55;17,32;9,75;68,26;19,71;26,12;7,39;8,04;9,15;23,51;
"K-A3 GRECiOT 1";2022-09-04 08:21:53;17,50;13,38;69,43;25,10;17,89;7,05;7,71;9,26;23,41;
"K-A3 GRECiOT 1";2022-09-04 08:16:54;17,34;21,52;69,34;32,69;7,99;7,38;8,13;9,66;23,27;
"K-A3 GRECiOT 1";2022-09-04 08:11:53;17,40;18,76;69,93;31,36;10,18;7,23;7,87;9,83;23,20;
"K-A3 GRECiOT 1";2022-09-04 08:06:56;17,26;15,61;69,85;30,41;10,54;7,47;8,12;9,68;23,07;
"K-A3 GRECiOT 1";2022-09-04 08:01:55;17,27;16,28;70,28;30,90;11,24;7,04;7,66;9,18;22,97;
"K-A3 GRECiOT 1";2022-09-04 07:56:52;17,04;17,21;69,69;32,29;8,13;7,34;7,97;9,31;22,87;
"K-A3 GRECiOT 1";2022-09-04 07:51:55;17,02;16,32;69,99;31,01;10,10;6,78;7,46;8,95;22,79;
"K-A3 GRECiOT 1";2022-09-04 07:46:53;16,97;23,22;69,89;35,86;6,52;7,30;8,10;10,09;22,76;
"K-A3 GRECiOT 1";2022-09-04 07:41:54;16,82;23,91;69,48;34,82;6,01;6,43;7,10;8,18;22,69;
"K-A3 GRECiOT 1";2022-09-04 07:36:53;16,80;21,91;69,42;35,72;7,38;6,19;6,77;7,59;22,69;
"K-A3 GRECiOT 1";2022-09-04 07:31:56;16,71;19,92;69,18;35,69;6,51;6,33;7,00;9,30;22,64;
"K-A3 GRECiOT 1";2022-09-04 07:26:55;16,69;19,31;69,18;35,45;6,58;6,46;7,11;8,27;22,63;
"K-A3 GRECiOT 1";2022-09-04 07:21:53;16,67;17,41;69,09;34,54;6,63;6,18;6,73;7,76;22,63;
"K-A3 GRECiOT 1";2022-09-04 07:16:54;16,72;17,01;69,20;33,57;7,89;6,13;6,68;8,28;22,66;
"K-A3 GRECiOT 1";2022-09-04 07:11:53;16,59;17,66;68,57;33,10;8,59;6,23;6,77;8,28;22,67;
"K-A3 GRECiOT 1";2022-09-04 07:06:56;16,45;16,08;67,89;31,35;9,84;6,36;6,93;8,75;22,69;
"K-A3 GRECiOT 1";2022-09-04 07:01:54;16,39;16,11;67,46;31,84;10,07;6,22;6,79;8,15;22,73;
"K-A3 GRECiOT 1";2022-09-04 06:56:52;16,45;16,73;67,29;34,23;8,31;6,28;6,90;8,35;22,83;
"K-A3 GRECiOT 1";2022-09-04 06:51:54;16,31;15,56;66,54;33,88;6,94;6,57;7,18;8,83;22,87;
"K-A3 GRECiOT 1";2022-09-04 06:46:52;16,15;11,28;65,77;30,93;10,17;5,92;6,44;7,52;22,90;
"K-A3 GRECiOT 1";2022-09-04 06:41:54;16,16;9,08;65,86;23,48;21,51;6,04;6,52;7,12;22,89;
"K-A3 GRECiOT 1";2022-09-04 06:36:53;16,21;9,52;65,87;20,40;27,85;5,90;6,32;7,36;22,93;
"K-A3 GRECiOT 1";2022-09-04 06:31:56;16,15;9,42;65,62;21,08;27,02;5,69;6,11;7,18;22,93;
"K-A3 GRECiOT 1";2022-09-04 06:26:54;16,17;10,52;65,55;24,52;22,61;5,84;6,34;7,58;22,97;
"K-A3 GRECiOT 1";2022-09-04 06:21:52;16,20;11,20;65,35;27,85;17,38;5,96;6,44;7,58;23,06;
"K-A3 GRECiOT 1";2022-09-04 06:16:55;16,27;11,32;65,59;28,19;16,41;5,99;6,47;7,53;23,07;
