,MAE,MSE,MAPE,R2
2022-05-09,9.51618750859023,111.25627354792528,0.1494591231643243,0.14884081971353302
2022-05-16,3.60100938669559,17.999867115972208,0.08083159931704952,0.8461526250312121
2022-05-23,3.6886223947445864,23.07893054343421,0.1500750083634918,0.879598173394237
2022-05-30,7.32190153901436,76.26929402051188,0.13336062658655667,0.08119364922772332
2022-06-06,1.6982751339367879,5.456918007704535,0.038128979297759234,0.971580152184259
2022-06-13,5.9376837038496815,50.21544075591115,0.08860500367258432,0.5471739265809352
2022-06-20,3.4672732992807838,16.820428725035786,0.06181903178897796,0.8464205201123822
2022-06-27,7.593615791766964,90.29248705648907,0.1648631240869229,-0.6845100930629899
2022-07-04,3.9278146458049057,18.997900028050868,0.08575834679450944,0.8477266841890079
2022-07-11,4.225403765285414,29.680366892016963,0.49545902858547647,0.8667025145964549
2022-07-18,1.4759065559641247,3.3383072941299865,0.04155886094676742,0.9448272277061374
2022-07-25,5.136152764962477,33.52677967063872,0.13056323142422668,0.5403613822337572
2022-08-01,2.56631913092805,9.420658843202903,0.06462615389148707,0.8386512964661412
2022-08-08,0.8921895057466083,1.4075902698776346,0.022014938899577827,0.9803716796525651
2022-08-15,2.9468785850478363,13.650226107833953,0.07646371406852173,0.7041089591599848
2022-08-22,7.869653339314248,75.00637057980965,0.18450237178572773,-0.5398901162339973
2022-08-29,6.4225603874747845,65.62820564350073,0.08519438233450254,-0.756186440215822
