,temperature,humidity,dewpoint,windspeed,gustspeed,direction,rainlastmin
2022-05-30 13:00:00,29.35,39.18,13.99,4.03,6.74,91.83,0.0
2022-05-30 14:00:00,27.8,50.43,16.52,6.1,9.37,68.8,0.0
2022-05-30 15:00:00,28.18,47.57,15.97,4.66,7.72,45.42,0.0
2022-05-30 16:00:00,28.52,47.02,16.1,4.53,7.24,63.08,0.0
2022-05-30 17:00:00,28.52,50.33,17.15,3.58,5.98,67.05,0.0
2022-05-30 18:00:00,27.91,49.42,16.3,3.7,6.51,69.7,0.0
2022-05-30 19:00:00,27.22,49.72,15.79,4.03,6.44,74.58,0.0
2022-05-30 20:00:00,26.77,47.05,14.49,3.08,4.74,83.98,0.0
2022-05-30 21:00:00,25.82,47.15,13.7,1.56,2.64,281.5,0.0
2022-05-30 22:00:00,24.46,49.23,13.12,1.21,2.33,254.02,0.0
2022-05-30 23:00:00,23.88,53.98,14.0,1.04,1.7,243.7,0.0
2022-05-31 00:00:00,23.08,56.8,14.04,0.5,1.12,249.3,0.0
2022-05-31 01:00:00,22.64,56.25,13.47,0.38,0.94,248.33,0.0
2022-05-31 02:00:00,22.4,56.4,13.29,0.9,1.56,248.42,0.0
2022-05-31 03:00:00,21.79,55.8,12.57,0.67,1.21,282.22,0.0
2022-05-31 04:00:00,21.26,59.13,12.94,1.01,1.68,248.25,0.0
2022-05-31 05:00:00,20.8,57.73,12.16,0.39,0.9,242.87,0.0
2022-05-31 06:00:00,20.71,60.62,12.82,0.6,1.27,254.07,0.0
2022-05-31 07:00:00,21.79,61.43,14.04,1.08,1.75,301.52,0.0
