Device;Datetime;"Dew Point (C)";"H2S GCC (ppb)";"Humidity ext (%)";"NO2 GCc (ppb)";"O3 GCc (ppb)";"Pressure (hPa)";"TSP (ug/m3)";"Temp ext (C)";
"K-A3 GRECiOT 1";2022-07-19 07:51:55;16,82;7,53;61,88;28,60;23,26;1018,60;23,19;24,61;
"K-A3 GRECiOT 1";2022-07-19 07:46:53;16,81;10,09;61,61;36,26;11,81;1018,49;15,44;24,68;
"K-A3 GRECiOT 1";2022-07-19 07:41:55;16,83;8,19;61,52;34,11;15,58;1018,48;18,81;24,72;
"K-A3 GRECiOT 1";2022-07-19 07:36:53;16,87;11,48;61,61;32,37;18,82;1018,38;36,57;24,74;
"K-A3 GRECiOT 1";2022-07-19 07:31:56;16,94;9,38;61,96;26,69;26,02;1018,36;16,02;24,72;
"K-A3 GRECiOT 1";2022-07-19 07:26:55;17,11;9,88;62,84;26,16;26,07;1018,37;13,87;24,67;
"K-A3 GRECiOT 1";2022-07-19 07:21:53;17,11;15,80;62,80;35,79;16,48;1018,37;16,00;24,68;
"K-A3 GRECiOT 1";2022-07-19 07:16:55;17,13;18,76;63,13;32,32;21,79;1018,41;16,00;24,61;
"K-A3 GRECiOT 1";2022-07-19 07:11:53;17,14;14,37;63,28;30,18;25,22;1018,34;10,69;24,58;
"K-A3 GRECiOT 1";2022-07-19 07:06:56;17,15;13,13;63,19;22,94;34,99;1018,30;12,27;24,61;
"K-A3 GRECiOT 1";2022-07-19 07:01:55;17,24;14,81;63,66;27,75;26,45;1018,26;12,79;24,58;
"K-A3 GRECiOT 1";2022-07-19 06:56:53;17,27;12,97;63,82;23,47;34,40;1018,22;13,16;24,58;
"K-A3 GRECiOT 1";2022-07-19 06:51:54;17,11;19,50;63,06;27,24;33,38;1018,18;12,32;24,61;
"K-A3 GRECiOT 1";2022-07-19 06:46:53;16,92;14,93;62,24;27,65;29,08;1018,26;12,34;24,63;
"K-A3 GRECiOT 1";2022-07-19 06:41:55;17,11;15,04;62,99;27,72;28,04;1018,14;9,48;24,63;
"K-A3 GRECiOT 1";2022-07-19 06:36:52;17,17;20,48;63,23;25,85;32,43;1018,19;9,71;24,63;
"K-A3 GRECiOT 1";2022-07-19 06:31:56;15,42;27,48;56,47;31,69;30,30;1018,10;12,69;24,66;
"K-A3 GRECiOT 1";2022-07-19 06:26:55;15,16;0,00;55,84;9,61;43,13;1017,96;9,14;24,57;
"K-A3 GRECiOT 1";2022-07-19 06:21:53;16,10;0,00;59,28;8,47;45,12;1017,89;9,10;24,57;
"K-A3 GRECiOT 1";2022-07-19 06:16:54;16,86;13,32;62,30;24,06;32,58;1017,85;10,53;24,54;
"K-A3 GRECiOT 1";2022-07-19 06:11:52;17,02;15,60;62,94;20,20;40,93;1017,88;11,35;24,54;
"K-A3 GRECiOT 1";2022-07-19 06:06:56;16,84;13,70;62,28;21,72;40,30;1017,92;8,92;24,53;
"K-A3 GRECiOT 1";2022-07-19 06:01:55;16,84;15,67;62,10;23,45;40,53;1017,92;8,41;24,58;
"K-A3 GRECiOT 1";2022-07-19 05:56:53;16,72;15,96;61,66;30,88;28,22;1017,92;11,15;24,57;
"K-A3 GRECiOT 1";2022-07-19 05:51:55;16,71;16,40;61,69;28,83;30,46;1017,90;10,85;24,56;
"K-A3 GRECiOT 1";2022-07-19 05:46:53;16,68;22,35;61,25;29,37;31,16;1017,90;;24,64;
"K-A3 GRECiOT 1";2022-07-19 05:41:55;14,85;24,69;54,26;29,82;32,78;1017,89;14,06;24,71;
"K-A3 GRECiOT 1";2022-07-19 05:36:53;14,81;0,00;54,21;8,38;53,67;1017,76;12,41;24,68;
"K-A3 GRECiOT 1";2022-07-19 05:31:56;14,93;0,00;54,58;8,64;52,03;1017,75;10,87;24,70;
"K-A3 GRECiOT 1";2022-07-19 05:26:55;15,17;0,00;55,29;7,08;56,60;1017,76;8,76;24,74;
"K-A3 GRECiOT 1";2022-07-19 05:21:52;15,09;0,00;55,05;9,44;51,72;1017,78;9,76;24,72;
"K-A3 GRECiOT 1";2022-07-19 05:16:54;15,24;1,11;55,50;9,09;55,99;1017,74;16,34;24,75;
"K-A3 GRECiOT 1";2022-07-19 05:11:53;15,15;2,64;55,13;9,21;58,31;1017,70;10,70;24,77;
"K-A3 GRECiOT 1";2022-07-19 05:06:56;15,26;4,62;55,31;10,09;58,94;1017,70;10,53;24,84;
"K-A3 GRECiOT 1";2022-07-19 05:01:55;14,92;4,71;54,22;11,34;58,67;1017,63;18,97;24,79;
"K-A3 GRECiOT 1";2022-07-19 04:56:53;15,34;0,00;55,73;8,83;56,80;1017,67;10,26;24,79;
"K-A3 GRECiOT 1";2022-07-19 04:51:54;15,79;1,91;57,39;11,95;53,37;1017,68;12,19;24,78;
"K-A3 GRECiOT 1";2022-07-19 04:46:52;16,18;9,43;58,72;15,13;54,50;1017,67;12,26;24,81;
"K-A3 GRECiOT 1";2022-07-19 04:41:55;16,16;15,60;58,64;18,01;54,81;1017,72;11,13;24,81;
"K-A3 GRECiOT 1";2022-07-19 04:36:53;15,90;16,89;57,55;18,31;55,05;1017,69;13,57;24,85;
"K-A3 GRECiOT 1";2022-07-19 04:31:56;15,72;11,73;57,10;15,86;54,73;1017,72;13,79;24,79;
"K-A3 GRECiOT 1";2022-07-19 04:26:54;14,81;14,76;53,99;18,67;53,35;1017,70;13,42;24,75;
"K-A3 GRECiOT 1";2022-07-19 04:21:53;15,08;0,00;55,04;10,92;53,25;1017,66;7,20;24,72;
"K-A3 GRECiOT 1";2022-07-19 04:16:55;15,15;5,70;55,24;14,19;54,33;1017,70;10,22;24,74;
"K-A3 GRECiOT 1";2022-07-19 04:11:52;15,13;7,29;54,96;17,07;48,52;1017,73;9,43;24,79;
"K-A3 GRECiOT 1";2022-07-19 04:06:56;15,13;6,06;54,79;15,40;49,70;1017,72;8,49;24,85;
"K-A3 GRECiOT 1";2022-07-19 04:01:55;15,00;6,66;54,22;16,53;47,51;1017,68;9,05;24,88;
"K-A3 GRECiOT 1";2022-07-19 03:56:53;14,85;6,70;53,51;18,21;46,36;1017,60;8,05;24,95;
"K-A3 GRECiOT 1";2022-07-19 03:51:54;14,70;4,86;52,76;13,94;50,88;1017,59;8,08;25,02;
"K-A3 GRECiOT 1";2022-07-19 03:46:52;14,56;1,67;52,02;12,45;51,45;1017,57;8,58;25,11;
"K-A3 GRECiOT 1";2022-07-19 03:41:55;14,53;0,00;51,68;9,98;52,00;1017,52;8,06;25,18;
"K-A3 GRECiOT 1";2022-07-19 03:36:53;14,44;0,00;51,35;10,21;53,19;1017,56;10,45;25,19;
"K-A3 GRECiOT 1";2022-07-19 03:31:56;14,41;0,00;51,03;10,13;53,43;1017,52;9,21;25,26;
"K-A3 GRECiOT 1";2022-07-19 03:26:55;14,48;0,00;50,99;9,11;53,17;1017,51;8,35;25,35;
"K-A3 GRECiOT 1";2022-07-19 03:21:52;14,44;0,00;50,71;9,24;54,30;1017,50;8,75;25,40;
"K-A3 GRECiOT 1";2022-07-19 03:16:54;14,18;0,00;49,61;10,51;51,82;1017,48;8,10;25,49;
"K-A3 GRECiOT 1";2022-07-19 03:11:52;14,20;0,00;49,66;7,47;56,30;1017,44;8,38;25,49;
"K-A3 GRECiOT 1";2022-07-19 03:06:56;14,10;0,00;49,33;7,40;58,56;1017,50;13,61;25,50;
"K-A3 GRECiOT 1";2022-07-19 03:01:55;14,23;0,00;49,60;4,79;61,16;1017,46;9,83;25,54;
"K-A3 GRECiOT 1";2022-07-19 02:56:52;14,53;0,00;50,58;4,74;60,48;1017,50;9,72;25,54;
"K-A3 GRECiOT 1";2022-07-19 02:51:55;14,75;0,00;51,16;9,29;56,13;1017,57;8,83;25,59;
"K-A3 GRECiOT 1";2022-07-19 02:46:53;14,59;0,00;50,42;11,63;58,14;1017,58;12,74;25,66;
"K-A3 GRECiOT 1";2022-07-19 02:41:54;14,57;0,00;50,28;12,83;50,91;1017,50;9,29;25,69;
"K-A3 GRECiOT 1";2022-07-19 02:36:52;14,50;0,00;49,85;9,33;57,24;1017,45;8,67;25,76;
"K-A3 GRECiOT 1";2022-07-19 02:31:56;14,48;0,00;49,61;6,35;59,33;1017,41;9,75;25,81;
"K-A3 GRECiOT 1";2022-07-19 02:26:54;14,88;0,00;50,64;4,87;62,29;1017,36;10,83;25,90;
"K-A3 GRECiOT 1";2022-07-19 02:21:53;15,54;0,00;52,63;10,41;60,52;1017,38;9,94;25,97;
"K-A3 GRECiOT 1";2022-07-19 02:16:54;15,41;1,03;52,10;12,53;59,61;1017,41;8,30;26,00;
"K-A3 GRECiOT 1";2022-07-19 02:11:52;15,15;3,34;51,12;13,28;58,66;1017,37;10,35;26,04;
"K-A3 GRECiOT 1";2022-07-19 02:06:56;15,18;0,00;50,81;8,82;62,15;1017,30;9,20;26,17;
"K-A3 GRECiOT 1";2022-07-19 02:01:55;15,32;0,86;50,98;17,78;49,58;1017,33;11,22;26,27;
"K-A3 GRECiOT 1";2022-07-19 01:56:53;15,09;0,00;50,17;15,02;51,04;1017,29;12,01;26,30;
"K-A3 GRECiOT 1";2022-07-19 01:51:55;15,29;0,00;50,70;13,12;51,65;1017,31;10,06;26,32;
"K-A3 GRECiOT 1";2022-07-19 01:46:52;15,32;0,00;50,66;13,53;51,61;1017,33;14,98;26,38;
"K-A3 GRECiOT 1";2022-07-19 01:41:54;15,61;0,78;51,55;11,80;53,60;1017,27;12,06;26,39;
"K-A3 GRECiOT 1";2022-07-19 01:36:53;15,60;4,72;51,58;15,16;50,54;1017,31;11,42;26,38;
"K-A3 GRECiOT 1";2022-07-19 01:31:56;15,11;3,71;50,05;13,45;51,86;1017,35;9,39;26,35;
"K-A3 GRECiOT 1";2022-07-19 01:26:54;14,95;0,00;49,54;8,94;56,09;1017,33;13,53;26,35;
"K-A3 GRECiOT 1";2022-07-19 01:21:52;15,73;0,00;52,09;7,09;56,37;1017,29;10,25;26,35;
"K-A3 GRECiOT 1";2022-07-19 01:16:55;15,82;4,84;52,45;15,39;51,41;1017,41;9,95;26,32;
"K-A3 GRECiOT 1";2022-07-19 01:11:52;15,57;9,44;51,69;17,45;51,02;1017,33;15,02;26,31;
"K-A3 GRECiOT 1";2022-07-19 01:06:55;15,86;1,71;52,72;14,33;49,61;1017,26;9,70;26,28;
"K-A3 GRECiOT 1";2022-07-19 01:01:54;16,03;7,56;53,32;18,08;48,47;1017,30;13,46;26,28;
"K-A3 GRECiOT 1";2022-07-19 00:56:53;16,21;11,39;53,84;21,89;45,00;1017,30;12,52;26,31;
"K-A3 GRECiOT 1";2022-07-19 00:51:55;16,43;10,30;54,65;21,93;42,38;1017,26;16,79;26,30;
"K-A3 GRECiOT 1";2022-07-19 00:46:53;16,78;18,30;55,87;32,28;30,05;1017,30;12,80;26,30;
"K-A3 GRECiOT 1";2022-07-19 00:41:55;16,73;18,88;55,77;37,98;20,03;1017,31;10,66;26,27;
"K-A3 GRECiOT 1";2022-07-19 00:36:52;17,08;19,84;57,09;31,46;29,57;1017,26;11,49;26,25;
"K-A3 GRECiOT 1";2022-07-19 00:31:56;16,96;26,69;56,73;36,95;25,52;1017,25;9,01;26,23;
"K-A3 GRECiOT 1";2022-07-19 00:26:55;15,67;29,77;52,18;43,26;19,63;1017,27;15,44;26,25;
"K-A3 GRECiOT 1";2022-07-19 00:21:52;15,98;19,80;53,27;35,12;22,99;1017,21;13,09;26,24;
"K-A3 GRECiOT 1";2022-07-19 00:16:54;16,00;14,70;53,33;38,13;18,80;1017,21;12,64;26,24;
"K-A3 GRECiOT 1";2022-07-19 00:11:52;16,19;26,74;53,90;35,32;32,34;1017,14;15,37;26,27;
"K-A3 GRECiOT 1";2022-07-19 00:06:55;15,53;23,50;51,79;34,18;31,73;1017,11;9,36;26,23;
"K-A3 GRECiOT 1";2022-07-19 00:01:55;14,59;10,47;48,63;32,83;24,18;1017,11;14,36;26,27;
"K-A3 GRECiOT 1";2022-07-18 23:56:53;14,65;7,60;48,71;30,62;22,41;1017,08;9,77;26,31;
"K-A3 GRECiOT 1";2022-07-18 23:51:55;14,91;8,69;49,57;36,72;16,18;1017,06;9,03;26,30;
"K-A3 GRECiOT 1";2022-07-18 23:46:53;14,85;12,46;49,46;30,33;27,64;1016,98;;26,27;
"K-A3 GRECiOT 1";2022-07-18 23:41:55;14,91;12,17;49,41;31,81;28,69;1016,98;12,00;26,35;
"K-A3 GRECiOT 1";2022-07-18 23:36:53;14,89;11,90;49,28;32,57;25,55;1017,00;12,42;26,38;
"K-A3 GRECiOT 1";2022-07-18 23:31:56;14,95;9,84;49,24;29,61;29,84;1016,99;11,79;26,45;
"K-A3 GRECiOT 1";2022-07-18 23:26:55;15,02;10,55;49,06;33,30;23,59;1016,97;13,07;26,59;
"K-A3 GRECiOT 1";2022-07-18 23:21:53;15,11;9,80;49,02;29,52;30,70;1016,97;13,41;26,71;
"K-A3 GRECiOT 1";2022-07-18 23:16:55;15,21;9,10;49,25;27,36;31,68;1016,93;15,45;26,74;
"K-A3 GRECiOT 1";2022-07-18 23:11:52;15,22;10,69;49,13;26,40;34,78;1016,92;10,61;26,79;
"K-A3 GRECiOT 1";2022-07-18 23:06:56;15,13;13,84;48,75;33,80;25,70;1016,95;12,27;26,82;
"K-A3 GRECiOT 1";2022-07-18 23:01:54;15,28;10,58;49,18;33,57;22,90;1016,88;14,40;26,83;
"K-A3 GRECiOT 1";2022-07-18 22:56:53;15,34;11,06;49,06;31,60;29,09;1016,84;12,76;26,95;
"K-A3 GRECiOT 1";2022-07-18 22:51:55;15,71;14,47;49,85;31,56;31,00;1016,85;15,16;27,07;
"K-A3 GRECiOT 1";2022-07-18 22:46:53;15,78;14,37;49,97;32,85;29,06;1016,88;12,93;27,11;
"K-A3 GRECiOT 1";2022-07-18 22:41:55;15,80;13,60;50,06;26,18;39,63;1016,81;12,46;27,10;
"K-A3 GRECiOT 1";2022-07-18 22:36:53;15,80;17,26;50,02;35,07;31,85;1016,80;14,25;27,11;
"K-A3 GRECiOT 1";2022-07-18 22:31:56;15,78;15,66;49,86;26,50;44,34;1016,80;10,32;27,14;
"K-A3 GRECiOT 1";2022-07-18 22:26:55;15,85;16,09;49,75;25,22;47,50;1016,81;12,14;27,26;
"K-A3 GRECiOT 1";2022-07-18 22:21:53;15,99;16,14;50,00;25,25;46,09;1016,76;11,65;27,33;
"K-A3 GRECiOT 1";2022-07-18 22:16:54;16,08;18,47;50,08;30,11;39,45;1016,71;16,92;27,40;
"K-A3 GRECiOT 1";2022-07-18 22:11:52;16,18;19,90;50,24;38,71;24,76;1016,60;13,50;27,46;
"K-A3 GRECiOT 1";2022-07-18 22:06:56;16,27;19,38;50,51;32,55;34,42;1016,54;12,73;27,46;
"K-A3 GRECiOT 1";2022-07-18 22:01:55;16,45;19,90;51,20;32,30;35,52;1016,51;12,43;27,43;
"K-A3 GRECiOT 1";2022-07-18 21:56:53;16,53;23,93;51,59;29,26;46,50;1016,45;13,94;27,38;
"K-A3 GRECiOT 1";2022-07-18 21:51:55;16,48;26,30;51,13;29,15;54,31;1016,36;14,70;27,48;
"K-A3 GRECiOT 1";2022-07-18 21:46:52;16,48;26,71;51,04;30,24;50,29;1016,34;11,50;27,51;
"K-A3 GRECiOT 1";2022-07-18 21:41:55;16,49;27,75;50,74;28,95;55,82;1016,25;18,70;27,62;
"K-A3 GRECiOT 1";2022-07-18 21:36:53;16,40;30,02;50,29;33,46;49,87;1016,20;20,27;27,68;
"K-A3 GRECiOT 1";2022-07-18 21:31:56;16,45;30,10;50,01;34,35;47,31;1016,22;15,65;27,83;
"K-A3 GRECiOT 1";2022-07-18 21:26:55;16,33;29,94;49,47;29,81;54,80;1016,08;10,85;27,88;
"K-A3 GRECiOT 1";2022-07-18 21:21:53;16,26;26,93;48,88;28,13;57,47;1016,06;12,46;28,01;
"K-A3 GRECiOT 1";2022-07-18 21:16:55;16,56;28,36;49,51;32,10;48,88;1016,02;14,65;28,12;
"K-A3 GRECiOT 1";2022-07-18 21:11:52;16,82;31,11;49,96;37,56;43,96;1016,00;16,37;28,25;
"K-A3 GRECiOT 1";2022-07-18 21:06:56;16,77;33,41;50,00;46,33;32,44;1015,99;14,03;28,18;
"K-A3 GRECiOT 1";2022-07-18 21:01:55;16,59;34,20;49,12;35,33;52,25;1015,91;20,41;28,29;
"K-A3 GRECiOT 1";2022-07-18 20:56:52;16,42;28,95;48,43;32,20;54,29;1015,93;14,37;28,35;
"K-A3 GRECiOT 1";2022-07-18 20:51:55;16,31;35,03;47,71;35,89;53,94;1015,83;11,24;28,49;
"K-A3 GRECiOT 1";2022-07-18 20:46:53;16,08;32,78;46,83;35,01;52,95;1015,80;12,42;28,55;
"K-A3 GRECiOT 1";2022-07-18 20:41:55;15,76;21,53;45,33;29,49;59,31;1015,71;16,23;28,76;
"K-A3 GRECiOT 1";2022-07-18 20:36:53;16,34;19,42;46,94;30,90;54,22;1015,61;12,87;28,80;
"K-A3 GRECiOT 1";2022-07-18 20:31:56;16,56;26,13;47,48;35,40;52,43;1015,53;14,68;28,84;
"K-A3 GRECiOT 1";2022-07-18 20:26:55;16,56;26,24;47,06;34,39;58,53;1015,53;11,56;29,00;
"K-A3 GRECiOT 1";2022-07-18 20:21:53;16,47;25,92;46,68;35,10;56,62;1015,49;11,91;29,04;
"K-A3 GRECiOT 1";2022-07-18 20:16:55;16,39;30,66;46,05;36,45;57,17;1015,43;14,21;29,18;
"K-A3 GRECiOT 1";2022-07-18 20:11:53;16,45;30,16;45,75;33,56;61,24;1015,41;10,88;29,36;
"K-A3 GRECiOT 1";2022-07-18 20:06:56;16,62;36,59;45,71;34,88;61,10;1015,34;15,05;29,56;
"K-A3 GRECiOT 1";2022-07-18 20:01:55;16,17;40,81;43,78;36,19;59,84;1015,40;12,46;29,82;
"K-A3 GRECiOT 1";2022-07-18 19:56:53;16,37;32,20;43,96;33,47;58,79;1015,41;13,16;29,96;
"K-A3 GRECiOT 1";2022-07-18 19:51:56;16,13;40,12;43,00;36,93;55,07;1015,44;12,09;30,09;
"K-A3 GRECiOT 1";2022-07-18 19:46:53;15,99;36,46;41,79;33,93;60,12;1015,37;13,32;30,43;
"K-A3 GRECiOT 1";2022-07-18 19:41:55;16,07;42,76;40,86;33,30;64,54;1015,23;13,05;30,91;
"K-A3 GRECiOT 1";2022-07-18 19:36:53;15,40;31,28;38,70;28,20;67,57;1015,27;11,23;31,11;
"K-A3 GRECiOT 1";2022-07-18 19:31:56;15,51;23,87;38,64;23,06;71,72;1015,20;9,25;31,26;
"K-A3 GRECiOT 1";2022-07-18 19:26:55;15,81;29,67;38,76;25,81;69,86;1015,18;11,67;31,54;
"K-A3 GRECiOT 1";2022-07-18 19:21:53;16,12;25,54;39,56;27,54;64,78;1015,17;13,24;31,53;
"K-A3 GRECiOT 1";2022-07-18 19:16:54;15,93;35,05;38,67;30,01;67,21;1015,17;14,33;31,72;
"K-A3 GRECiOT 1";2022-07-18 19:11:53;15,71;35,92;37,79;31,61;64,74;1015,09;14,38;31,88;
"K-A3 GRECiOT 1";2022-07-18 19:06:56;15,72;30,84;37,17;27,34;70,14;1015,01;12,64;32,18;
"K-A3 GRECiOT 1";2022-07-18 19:01:55;15,57;30,71;36,59;27,34;69,55;1014,99;15,74;32,30;
"K-A3 GRECiOT 1";2022-07-18 18:56:53;15,19;29,49;35,37;24,70;72,78;1015,01;16,32;32,46;
"K-A3 GRECiOT 1";2022-07-18 18:51:55;15,24;22,40;35,22;23,88;71,01;1015,01;12,12;32,59;
"K-A3 GRECiOT 1";2022-07-18 18:46:53;15,18;25,15;35,18;23,71;72,23;1015,01;12,77;32,55;
"K-A3 GRECiOT 1";2022-07-18 18:41:55;15,08;25,36;34,45;22,50;75,70;1015,08;12,89;32,80;
"K-A3 GRECiOT 1";2022-07-18 18:36:53;14,91;25,30;33,78;23,65;74,07;1015,00;15,27;32,96;
"K-A3 GRECiOT 1";2022-07-18 18:31:56;14,75;18,87;33,27;20,44;76,95;1015,01;11,21;33,05;
"K-A3 GRECiOT 1";2022-07-18 18:26:55;14,59;22,14;32,83;21,64;75,46;1015,04;8,96;33,10;
"K-A3 GRECiOT 1";2022-07-18 18:21:52;14,45;17,01;31,96;18,40;78,71;1015,00;11,17;33,41;
"K-A3 GRECiOT 1";2022-07-18 18:16:56;14,04;17,43;30,96;21,28;71,70;1014,99;15,03;33,51;
"K-A3 GRECiOT 1";2022-07-18 18:11:53;14,00;14,84;31,22;21,16;69,28;1014,98;11,20;33,31;
"K-A3 GRECiOT 1";2022-07-18 18:06:56;13,70;13,22;30,27;20,85;68,39;1014,93;13,49;33,51;
"K-A3 GRECiOT 1";2022-07-18 18:01:55;13,62;5,80;29,94;15,30;73,45;1015,00;13,45;33,63;
"K-A3 GRECiOT 1";2022-07-18 17:56:53;13,36;8,12;29,11;19,14;67,84;1015,00;13,34;33,82;
"K-A3 GRECiOT 1";2022-07-18 17:51:55;13,33;3,72;29,28;13,22;72,20;1015,01;11,55;33,68;
"K-A3 GRECiOT 1";2022-07-18 17:46:53;13,84;0,00;30,20;12,47;73,15;1015,07;;33,72;
"K-A3 GRECiOT 1";2022-07-18 17:41:55;14,23;7,84;31,51;17,61;71,31;1015,10;9,70;33,41;
"K-A3 GRECiOT 1";2022-07-18 17:36:53;14,80;16,66;32,69;19,33;75,92;1015,17;12,63;33,41;
"K-A3 GRECiOT 1";2022-07-18 17:31:55;14,70;18,24;32,39;21,42;75,99;1015,21;8,83;33,47;
"K-A3 GRECiOT 1";2022-07-18 17:26:55;14,51;18,11;31,70;22,94;73,68;1015,18;10,10;33,63;
"K-A3 GRECiOT 1";2022-07-18 17:21:53;14,74;11,01;31,86;18,08;78,73;1015,21;15,20;33,81;
"K-A3 GRECiOT 1";2022-07-18 17:16:55;14,56;21,56;31,83;27,12;67,35;1015,34;11,87;33,61;
"K-A3 GRECiOT 1";2022-07-18 17:11:54;14,53;15,61;31,65;24,16;70,07;1015,34;13,93;33,68;
"K-A3 GRECiOT 1";2022-07-18 17:06:57;14,37;13,48;31,06;17,51;81,24;1015,37;12,49;33,84;
"K-A3 GRECiOT 1";2022-07-18 17:01:55;14,41;15,32;31,27;19,39;77,51;1015,41;14,52;33,77;
"K-A3 GRECiOT 1";2022-07-18 16:56:53;14,48;16,28;31,21;19,35;78,47;1015,39;16,16;33,88;
"K-A3 GRECiOT 1";2022-07-18 16:51:55;14,90;15,82;31,63;20,32;76,30;1015,35;;34,12;
"K-A3 GRECiOT 1";2022-07-18 16:46:53;14,81;13,90;31,30;19,46;77,40;1015,43;10,34;34,20;
"K-A3 GRECiOT 1";2022-07-18 16:41:55;15,63;12,76;31,77;19,72;77,45;1015,41;14,29;34,89;
"K-A3 GRECiOT 1";2022-07-18 16:36:53;15,88;25,06;32,57;29,52;66,62;1015,48;10,83;34,73;
"K-A3 GRECiOT 1";2022-07-18 16:31:56;15,57;24,25;32,46;28,35;69,67;1015,49;19,30;34,43;
"K-A3 GRECiOT 1";2022-07-18 16:26:56;15,45;28,44;32,56;27,14;74,82;1015,59;14,49;34,23;
"K-A3 GRECiOT 1";2022-07-18 16:21:53;15,57;24,26;31,62;21,77;82,59;1015,55;15,74;34,90;
"K-A3 GRECiOT 1";2022-07-18 16:17:17;15,95;21,81;31,95;27,69;69,52;1015,58;13,86;35,16;
"K-A3 GRECiOT 1";2022-07-18 16:11:52;15,66;35,63;31,95;33,91;67,51;1015,60;11,46;34,82;
"K-A3 GRECiOT 1";2022-07-18 16:06:55;15,08;31,78;30,43;26,30;77,91;1015,52;12,27;35,03;
"K-A3 GRECiOT 1";2022-07-18 16:01:55;14,57;20,76;29,40;25,95;70,94;1015,61;15,48;35,06;
"K-A3 GRECiOT 1";2022-07-18 15:56:53;14,39;13,37;29,08;23,70;69,54;1015,66;10,50;35,04;
"K-A3 GRECiOT 1";2022-07-18 15:51:55;14,48;10,58;28,88;21,64;72,11;1015,73;12,77;35,27;
"K-A3 GRECiOT 1";2022-07-18 15:46:53;15,61;18,82;31,21;25,02;69,49;1015,66;11,76;35,18;
"K-A3 GRECiOT 1";2022-07-18 15:41:54;15,30;22,99;30,31;27,22;69,27;1015,68;13,09;35,35;
"K-A3 GRECiOT 1";2022-07-18 15:36:53;15,22;25,73;30,21;25,46;71,23;1015,67;17,33;35,31;
"K-A3 GRECiOT 1";2022-07-18 15:31:56;14,69;23,29;28,73;23,97;76,04;1015,68;12,60;35,61;
"K-A3 GRECiOT 1";2022-07-18 15:26:55;14,49;14,14;28,55;23,54;69,77;1015,69;10,47;35,49;
"K-A3 GRECiOT 1";2022-07-18 15:21:53;15,37;24,88;30,41;24,52;73,14;1015,79;13,22;35,38;
"K-A3 GRECiOT 1";2022-07-18 15:16:55;14,76;16,42;28,70;23,38;72,30;1015,88;14,38;35,71;
"K-A3 GRECiOT 1";2022-07-18 15:11:53;14,78;15,34;28,81;23,57;68,37;1015,83;12,45;35,66;
"K-A3 GRECiOT 1";2022-07-18 15:06:56;15,49;25,18;30,87;26,36;71,18;1015,85;11,17;35,24;
"K-A3 GRECiOT 1";2022-07-18 15:01:54;13,97;19,35;27,52;27,86;74,77;1015,93;11,67;35,55;
"K-A3 GRECiOT 1";2022-07-18 14:56:53;14,18;24,95;28,07;26,16;75,12;1015,83;12,06;35,44;
"K-A3 GRECiOT 1";2022-07-18 14:51:54;14,54;18,85;28,53;24,05;77,66;1015,83;13,69;35,57;
"K-A3 GRECiOT 1";2022-07-18 14:46:53;14,90;27,78;28,99;29,25;71,64;1015,83;12,68;35,69;
"K-A3 GRECiOT 1";2022-07-18 14:41:55;13,81;14,73;26,42;21,76;77,76;1015,89;13,90;36,10;
"K-A3 GRECiOT 1";2022-07-18 14:36:53;14,31;14,93;27,67;23,04;71,55;1015,89;10,06;35,85;
"K-A3 GRECiOT 1";2022-07-18 14:31:55;14,01;14,63;27,56;23,86;72,12;1015,95;17,19;35,57;
"K-A3 GRECiOT 1";2022-07-18 14:26:55;13,64;19,36;27,84;25,74;69,57;1016,00;14,36;34,96;
"K-A3 GRECiOT 1";2022-07-18 14:21:53;13,48;5,96;27,71;17,11;81,12;1016,05;11,47;34,85;
"K-A3 GRECiOT 1";2022-07-18 14:16:55;13,66;11,62;28,47;19,28;84,55;1016,07;16,03;34,57;
"K-A3 GRECiOT 1";2022-07-18 14:11:52;12,90;26,58;28,30;27,04;79,22;1016,13;15,88;33,79;
"K-A3 GRECiOT 1";2022-07-18 14:06:55;13,17;17,02;28,49;15,90;90,52;1016,15;12,33;33,99;
"K-A3 GRECiOT 1";2022-07-18 14:01:55;12,70;14,01;27,23;14,44;89,61;1016,17;13,43;34,25;
"K-A3 GRECiOT 1";2022-07-18 13:56:53;12,58;6,05;26,25;13,69;86,35;1016,19;10,64;34,76;
"K-A3 GRECiOT 1";2022-07-18 13:51:55;13,27;3,58;26,82;14,16;81,61;1016,23;14,09;35,20;
"K-A3 GRECiOT 1";2022-07-18 13:46:53;12,94;10,14;26,58;19,90;75,88;1016,31;10,05;34,96;
"K-A3 GRECiOT 1";2022-07-18 13:41:54;13,04;7,52;26,76;16,04;79,47;1016,29;9,77;34,96;
"K-A3 GRECiOT 1";2022-07-18 13:36:53;12,97;7,87;26,71;18,28;77,63;1016,34;13,16;34,91;
"K-A3 GRECiOT 1";2022-07-18 13:31:57;12,87;9,81;27,13;18,27;80,22;1016,42;19,44;34,52;
"K-A3 GRECiOT 1";2022-07-18 13:26:55;13,02;3,86;27,18;14,68;86,90;1016,38;17,78;34,66;
"K-A3 GRECiOT 1";2022-07-18 13:21:53;12,34;7,90;26,31;19,41;76,77;1016,45;20,81;34,45;
"K-A3 GRECiOT 1";2022-07-18 13:16:55;12,05;11,88;26,36;19,69;74,45;1016,39;13,24;34,07;
